lag_seconds,r,p_value,n
-86400,-0.003633424110129479,0.8429950435093356,2974
-85500,-0.0070853347121997345,0.6991769330934027,2977
-84600,-0.008414577720224204,0.6461178643378376,2980
-83700,-0.009103289462654289,0.6191926602936682,2983
-82800,-0.010520882290998552,0.5655067322064478,2986
-81900,-0.01300734214635532,0.4771668150132721,2989
-81000,-0.015250695140598259,0.40433711719131005,2992
-80100,-0.015958093335956203,0.3826504854131897,2995
-79200,-0.017678002476986247,0.33323757459213876,2998
-78300,-0.020469913691820666,0.26227914743743935,3001
-77400,-0.023433540971169058,0.19914018851315768,3004
-76500,-0.02586092319402984,0.1562608009215033,3007
-75600,-0.025736418500386837,0.15805703002769508,3010
-74700,-0.023495461156134986,0.19728425588947324,3013
-73800,-0.020917949185319168,0.2507936119801692,3016
-72900,-0.019033950475499734,0.29579649114520923,3019
-72000,-0.01821063715509564,0.3169442621359735,3022
-71100,-0.01656226750359021,0.3625005413626359,3025
-70200,-0.012401928497186427,0.4951196545128331,3028
-69300,-0.009227162956851869,0.6115948148350646,3031
-68400,-0.0063435868686262525,0.726882533901267,3034
-67500,-0.0043530042880822305,0.8104914936155161,3037
-66600,-0.00520552063039086,0.7741915652596342,3040
-65700,-0.004649625422615111,0.7976534741084301,3043
-64800,-0.0029504076785006666,0.8707009263934032,3046
-63900,-0.0007520292985456627,0.9668906403520791,3049
-63000,0.0003049167136583998,0.9865656981552766,3052
-62100,-0.0002884963473594569,0.9872828486631551,3055
-61200,0.00011272813946867639,0.9950282333303182,3058
-60300,0.001843043071685327,0.9188144590174046,3061
-59400,0.003550087092467826,0.844273725319541,3064
-58500,0.005084837187507924,0.7783362354349955,3067
-57600,0.006429589173259236,0.7217607480266699,3070
-56700,0.005406332306338028,0.7644987795555646,3073
-55800,0.0035728624125036398,0.8429847339443415,3076
-54900,0.0014016801170098347,0.9380301683589756,3079
-54000,-0.00235694055679539,0.8959379078645987,3082
-53100,-0.007973076565325735,0.6580012800722157,3085
-52200,-0.013483055105089346,0.4538686293584596,3088
-51300,-0.015980833434206986,0.37444396477621406,3091
-50400,-0.013944728050733204,0.43811388647284544,3094
-49500,-0.01544967391349635,0.39007061164352896,3097
-48600,-0.0174764677975614,0.33068731314739,3100
-47700,-0.0193021633974016,0.2824258693212363,3103
-46800,-0.02140012737610151,0.23313671975641848,3106
-45900,-0.0237972338981578,0.1846575451514602,3109
-45000,-0.026554900403713756,0.1385961339616117,3112
-44100,-0.02815115896131619,0.11621554560435146,3115
-43200,-0.02785006847070788,0.11999383033285134,3118
-42300,-0.026950889833521334,0.13224535066723966,3121
-41400,-0.028212149019903855,0.11490199729715501,3124
-40500,-0.03113885940119266,0.08168391709439196,3127
-39600,-0.035223895653941725,0.048784008487389625,3130
-38700,-0.038551392139636737,0.030944466556017305,3133
-37800,-0.04236100093139645,0.01767604804354139,3136
-36900,-0.04495534850879371,0.011769744630935077,3139
-36000,-0.04522829432408855,0.011228854797222704,3142
-35100,-0.04408486162930668,0.013416740871464088,3145
-34200,-0.04340463911260687,0.014871782903619811,3148
-33300,-0.044341876699709674,0.012799007966101643,3151
-32400,-0.045577920083326715,0.010467404127779207,3154
-31500,-0.046246868345767515,0.009353857335444615,3157
-30600,-0.04654545864819666,0.008873654484221215,3160
-29700,-0.046937591632278744,0.008285517532012291,3163
-28800,-0.04668460624060995,0.008608866740511143,3166
-27900,-0.04582649900299441,0.009877492417682357,3169
-27000,-0.04431587390461375,0.012555473359129663,3172
-26100,-0.04290320559904924,0.015621777453051777,3175
-25200,-0.04147579989615237,0.019375176211538933,3178
-24300,-0.04086010651129181,0.021190042820895684,3181
-23400,-0.041387903222859124,0.019518539469406522,3184
-22500,-0.04152415215034173,0.019064055401506443,3187
-21600,-0.03969490482652086,0.024962890124207587,3190
-20700,-0.035793468971700416,0.04313250192662194,3193
-19800,-0.03232207703923436,0.06769492589422786,3196
-18900,-0.029640703443620152,0.0937024597946939,3199
-18000,-0.02756891443869612,0.11882892211730821,3202
-17100,-0.024870987058034325,0.15922504764833983,3205
-16200,-0.02124822619526033,0.22891846299044674,3208
-15300,-0.019554770083741343,0.2679659371912764,3211
-14400,-0.019784080869865096,0.26217059293638983,3214
-13500,-0.02042005864112234,0.24691798095131554,3217
-12600,-0.02136623172070619,0.2254758774785132,3220
-11700,-0.023026170086974426,0.19124812228302246,3223
-10800,-0.024796591979682057,0.15911191015784232,3226
-9900,-0.02652450768941507,0.1318317126000252,3229
-9000,-0.028131156354525674,0.1098265588270591,3232
-8100,-0.030035802254244064,0.08762274913721596,3235
-7200,-0.03177720391555753,0.07060802646105022,3238
-6300,-0.03217495237980658,0.06702884504143497,3241
-5400,-0.03220150655074023,0.06667749710163803,3244
-4500,-0.03216465875599407,0.06686362576382003,3247
-3600,-0.03164454275994419,0.07126670689256531,3250
-2700,-0.03111252967909901,0.07602130652481812,3253
-1800,-0.030622279010369607,0.08062208086648356,3256
-900,-0.029949789463033748,0.08736009040798787,3259
0,-0.029538327201639503,0.09164736747313795,3262
900,-0.03000017731350128,0.08682885882205064,3259
1800,-0.028057521365558346,0.1094431626844061,3256
2700,-0.025582829282358242,0.14462109993913247,3253
3600,-0.023946741017281774,0.17230182682681294,3250
4500,-0.023092572623325244,0.18832841685213428,3247
5400,-0.024722855759255084,0.15919311293569682,3244
6300,-0.027535889625074864,0.11704350343459674,3241
7200,-0.02837748655411001,0.10642381418025088,3238
8100,-0.02595297576584551,0.13999569501258877,3235
9000,-0.025010503892655963,0.155160842304256,3232
9900,-0.022882254475858024,0.19362337712352606,3229
10800,-0.01978668391571227,0.26121828787255036,3226
11700,-0.015193839090364957,0.3885269765487833,3223
12600,-0.009884798782438323,0.5749957584169737,3220
13500,-0.005124118291815321,0.7714170810994905,3217
14400,-0.001738082742951338,0.9215373409868166,3214
15300,0.0014934267417456338,0.9325848461139352,3211
16200,0.006014253064769059,0.7334703396439599,3208
17100,0.009062317768758321,0.6080542554673432,3205
18000,0.009249457051470959,0.6008360420496625,3202
18900,0.00962452205361799,0.5863313986212361,3199
19800,0.010045752446738807,0.5702315911125619,3196
20700,0.010736897749256263,0.5441921395706819,3193
21600,0.011071099622803542,0.5319246335333359,3190
22500,0.010128531714941297,0.5676054453268785,3187
23400,0.008898418576446002,0.6157214437215963,3184
24300,0.009058360090281338,0.609558058185789,3181
25200,0.006131279311593127,0.7297106215644426,3178
26100,0.003947290528977755,0.8240555913934804,3175
27000,0.0014360308992659042,0.9355642989050511,3172
27900,-0.0011947066749730974,0.9464000712110199,3169
28800,-0.003669705075349385,0.8364759266153481,3166
29700,-0.007635494945842907,0.6677333014834053,3163
30600,-0.01055083125943402,0.5532581316757329,3160
31500,-0.013683759296809001,0.44214063526676545,3157
32400,-0.01630381071219344,0.360019575010883,3154
33300,-0.01818904754361321,0.3073970161363809,3151
34200,-0.020352525817206913,0.2536266810340675,3148
35100,-0.02170056607471529,0.22374360718568886,3145
36000,-0.021946845571909564,0.2187506114287965,3142
36900,-0.020039171689860982,0.2616942002315016,3139
37800,-0.017266730135969067,0.33373230526839476,3136
38700,-0.014823883959600381,0.40684710301884447,3133
39600,-0.01166768378855788,0.5140616407120241,3130
40500,-0.00887951377848989,0.619647505225589,3127
41400,-0.005654332444629905,0.7520691046184945,3124
42300,-0.002435559138461615,0.8918130389426183,3121
43200,-0.0006072889525688983,0.9729594075794279,3118
44100,0.0006331172568146363,0.9718233964266949,3115
45000,-0.0003288866842287978,0.9853678783835014,3112
45900,-0.002476485329298077,0.8902170547192232,3109
46800,-0.004119257225355777,0.818495128132173,3106
47700,-0.0048255726421208255,0.7881607468735735,3103
48600,-0.005318198703784748,0.767239668812831,3100
49500,-0.0045561263170290555,0.7999200608720249,3097
50400,-0.002129220129011262,0.9057606655146304,3094
51300,0.0009549791087840791,0.9576743147233774,3091
52200,0.0050071961923970065,0.780906533854974,3088
53100,0.007830709892805834,0.6637295504208494,3085
54000,0.00959580725261572,0.5943695462969479,3082
54900,0.012807575000992612,0.47744575006153617,3079
55800,0.018527519990974954,0.30430829539196097,3076
56700,0.0255034714431094,0.15752914995978975,3073
57600,0.031885832502516205,0.07732097127629911,3070
58500,0.03873834083336029,0.03193051155346771,3067
59400,0.04214805407255571,0.019641675688111506,3064
60300,0.04298186456065384,0.017399488886816066,3061
61200,0.04398017658541425,0.0150053258466324,3058
62100,0.0451892789133488,0.012491093429379454,3055
63000,0.04671456319827905,0.009848784568914347,3052
63900,0.04856601443804153,0.007314208528903191,3049
64800,0.04986341385442004,0.005912889373348727,3046
65700,0.050852454074929006,0.005018298902104144,3043
66600,0.05131882520652493,0.0046515134335092054,3040
67500,0.05147215624299396,0.004549809141937811,3037
68400,0.052233677607114046,0.004003297723685026,3034
69300,0.05335484503620656,0.0033001047874747437,3031
70200,0.05177434445705284,0.004375558891734958,3028
71100,0.04922208456810784,0.0067743673225262955,3025
72000,0.04865212414132121,0.007472540919538782,3022
72900,0.04754163064344867,0.008985884239785398,3019
73800,0.0476444255303547,0.008872094572792017,3016
74700,0.04941567079721058,0.006667757860944456,3013
75600,0.05158966374504594,0.004638858842344363,3010
76500,0.053588598916217985,0.003287622139644196,3007
77400,0.054291810596691616,0.0029144147565014467,3004
78300,0.054853695512943695,0.0026473277273059365,3001
79200,0.05498189584166506,0.0025995950869830446,2998
80100,0.05324147121456518,0.003561729375675786,2995
81000,0.05126984191963474,0.005030235290744981,2992
81900,0.05025910264480493,0.005989776237138132,2989
82800,0.04943754125620741,0.00689235272011976,2986
83700,0.04871014488792255,0.0077941591102196235,2983
84600,0.049960483846719105,0.006374454310659991,2980
85500,0.05147744249722105,0.004963551973244532,2977
86400,0.05256545995450008,0.004138559829193473,2974
