lag_seconds,r,p_value,n
-86400,-0.023108911506351026,0.47289571916430345,967
-85500,-0.02817527585348431,0.38072757008687014,970
-84600,-0.036659144928727884,0.25327911287819477,973
-83700,-0.050707834077221584,0.11338686506313746,976
-82800,-0.07157221419648878,0.025127773877011733,979
-81900,-0.09657182774254566,0.002449682009820558,982
-81000,-0.11721815616085576,0.00022699958555959802,985
-80100,-0.13245783303141187,2.95870264433569e-05,988
-79200,-0.1448986243246416,4.652782363654578e-06,991
-78300,-0.15298589938900642,1.261110952223277e-06,994
-77400,-0.15022232950379794,1.8939155142358533e-06,997
-76500,-0.14575910213527005,3.6871257791070064e-06,1000
-75600,-0.1397158092366998,8.949761352021398e-06,1003
-74700,-0.1355654565175292,1.6004895963648516e-05,1006
-73800,-0.14862015132529413,2.1226062385051025e-06,1009
-72900,-0.17098039129428955,4.428661500088909e-08,1012
-72000,-0.17670916355944627,1.448887937101215e-08,1015
-71100,-0.17213887956703514,3.260497727674719e-08,1018
-70200,-0.16936010173455726,5.2002430479071766e-08,1021
-69300,-0.16677084554284263,7.971072239508628e-08,1024
-68400,-0.16258168841249618,1.6164437192920505e-07,1027
-67500,-0.1617396385448325,1.7998452467567937e-07,1030
-66600,-0.16579073565754368,8.357054535143682e-08,1033
-65700,-0.18249908309246612,3.2835479510808542e-09,1036
-64800,-0.1982516052998377,1.1427588504693612e-10,1039
-63900,-0.21114428049486503,5.7653426349692555e-12,1042
-63000,-0.23042022099472148,4.6473971148423436e-14,1045
-62100,-0.2518333095022589,1.2676725127591922e-16,1048
-61200,-0.2719517354246825,2.8169858723903577e-19,1051
-60300,-0.29664981871453855,7.437386734823e-23,1054
-59400,-0.31653939915084556,4.999110074305189e-26,1057
-58500,-0.31551018753948834,6.265100771216777e-26,1060
-57600,-0.31085638004839605,3.0129033428118094e-25,1063
-56700,-0.3075145971447757,8.80437383975593e-25,1066
-55800,-0.3031348437526846,3.705733959295423e-24,1069
-54900,-0.2976395802373059,2.272135190200803e-23,1072
-54000,-0.2876221325951649,6.367671285507855e-22,1075
-53100,-0.27603420963651687,2.645152449485449e-20,1078
-52200,-0.27652886278913713,1.9958906562404294e-20,1081
-51300,-0.27929825652540996,7.104899047132726e-21,1084
-50400,-0.2845158053116283,1.0896128830681442e-21,1087
-49500,-0.28170295892277264,2.4830495108098073e-21,1090
-48600,-0.2739069610698398,2.9138240027454183e-20,1093
-47700,-0.27849028233502743,5.687225283587241e-21,1096
-46800,-0.2646287099735728,4.567063056343111e-19,1099
-45900,-0.2505087231022341,3.1328720518606346e-17,1102
-45000,-0.23618204264103998,1.7916857748095265e-15,1105
-44100,-0.22075851393803467,1.0705748168380885e-13,1108
-43200,-0.20808351771543457,2.4738560689102074e-12,1111
-42300,-0.20963554675997903,1.57463899180171e-12,1114
-41400,-0.21498140864367166,3.8129267561376843e-13,1117
-40500,-0.22265261878374068,4.7768315467683365e-14,1120
-39600,-0.23857384072173263,5.349768496253901e-16,1123
-38700,-0.2556656572255466,2.912614744925065e-18,1126
-37800,-0.2670082150824034,6.98295200368702e-20,1129
-36900,-0.270534062864783,1.942918561991672e-20,1132
-36000,-0.26090618232005514,4.0574497912990034e-19,1135
-35100,-0.24388370298650366,7.151087063768479e-17,1138
-34200,-0.23738572874402672,4.4287914208081876e-16,1141
-33300,-0.23173249465994922,2.0608943491542755e-15,1144
-32400,-0.2163840702422604,1.2791676646326813e-13,1147
-31500,-0.19470296853348537,2.75044660301637e-11,1150
-30600,-0.17298308849208233,3.3789734099742524e-09,1153
-29700,-0.15476346919284964,1.2355503929729195e-07,1156
-28800,-0.1388999187338933,2.068184903028373e-06,1159
-27900,-0.12503639361950686,1.916068994484661e-05,1162
-27000,-0.1090886694073536,0.00019104991389071925,1165
-26100,-0.09071236495720902,0.0019139655025926555,1168
-25200,-0.07520913959554869,0.010037177938346128,1171
-24300,-0.06833630248474881,0.019196294667672982,1174
-23400,-0.07477372972526511,0.010283076550280995,1177
-22500,-0.08092752091917647,0.005409688044492644,1180
-21600,-0.08587390866707421,0.0031170522650005137,1183
-20700,-0.09387620411964714,0.0012092786639387025,1186
-19800,-0.10402992750284368,0.0003267327928189316,1189
-18900,-0.11357906374093027,8.495774136507167e-05,1192
-18000,-0.11497659482040332,6.786256794159914e-05,1195
-17100,-0.10171457024621093,0.0004218364302300766,1198
-16200,-0.0864562282981332,0.002711559346828365,1201
-15300,-0.08039233713405965,0.0052524219923798,1204
-14400,-0.08559220909491225,0.0029201765736617947,1207
-13500,-0.09201175682301214,0.0013547369476683794,1210
-12600,-0.09668068930918718,0.0007472235451778246,1213
-11700,-0.09055277342668284,0.001572655512744932,1216
-10800,-0.0827925035463587,0.00382026038247913,1219
-9900,-0.08166421578041484,0.004282100921954255,1222
-9000,-0.08922162680462939,0.0017731931356329722,1225
-8100,-0.09282030601807083,0.0011283230568569105,1228
-7200,-0.09315216327111371,0.001067529699737419,1231
-6300,-0.09617970540606355,0.0007168440613806265,1234
-5400,-0.10114631306330993,0.0003666933018146487,1237
-4500,-0.10190100567538797,0.00032558383276614196,1240
-3600,-0.09575792321105636,0.000723711959839257,1243
-2700,-0.08381953938372413,0.003066767231624388,1246
-1800,-0.07392380315383047,0.008961585884336097,1249
-900,-0.06702451457477013,0.017698412130254526,1252
0,-0.06131543519533481,0.029852743896698588,1255
900,-0.06536281539900028,0.020726158171408087,1252
1800,-0.06687306358552698,0.01809571554178661,1249
2700,-0.0702485604559141,0.01312864679136142,1246
3600,-0.07787162369999137,0.006016740790979368,1243
4500,-0.09332009836959208,0.0010018481204005843,1240
5400,-0.11257006718007939,7.253367041065901e-05,1237
6300,-0.1268369826736619,7.85430236046329e-06,1234
7200,-0.12815449192918216,6.469920720986467e-06,1231
8100,-0.134266420501406,2.339064729165805e-06,1228
9000,-0.14351272693827122,4.5602259971092384e-07,1225
9900,-0.14051036223477972,8.168687902836669e-07,1222
10800,-0.13189300904831408,3.829820070270281e-06,1219
11700,-0.12335400368929794,1.6064593955526812e-05,1216
12600,-0.11566308634185288,5.39694814257534e-05,1213
13500,-0.10758695833877627,0.0001772315095911901,1210
14400,-0.0970435259315173,0.0007356009151942109,1207
15300,-0.08652700542120509,0.0026567396535971317,1204
16200,-0.08334220367475019,0.003848948528042952,1201
17100,-0.07537128158248446,0.009060825486887044,1198
18000,-0.0729502200443782,0.01165166955484823,1195
18900,-0.06440720087650552,0.02617150409545253,1192
19800,-0.058543549641992966,0.043560075199948485,1189
20700,-0.05713541780314908,0.049162254346228514,1186
21600,-0.05692245541086138,0.050306095562355255,1183
22500,-0.05682354725742119,0.0510022231471061,1180
23400,-0.05767112623453022,0.047918269915227865,1177
24300,-0.060776732699235426,0.03732955881197173,1174
25200,-0.06569083433777907,0.024578746845773495,1171
26100,-0.06855215759023503,0.019124883695839045,1168
27000,-0.06652812316268851,0.023157708590129174,1165
27900,-0.05949371452269556,0.04259675359044035,1162
28800,-0.053428484309063114,0.06902438140340536,1159
29700,-0.053662343594225836,0.06817323457381001,1156
30600,-0.06139692978383045,0.03711556585992018,1153
31500,-0.07226908300032485,0.014233950884420395,1150
32400,-0.08421974160832825,0.004313654793529097,1147
33300,-0.09308070377807741,0.0016233533223306662,1144
34200,-0.10314665065105587,0.0004836509748356214,1141
35100,-0.11385402386181963,0.0001185613681727352,1138
36000,-0.12516031612923093,2.3513653618221213e-05,1135
36900,-0.13476115810561556,5.369009156075163e-06,1132
37800,-0.14129722447915946,1.875994444772354e-06,1129
38700,-0.1462154838598595,8.330967631008116e-07,1126
39600,-0.15145307966987467,3.41159640682222e-07,1123
40500,-0.15368599915380177,2.3622365370765293e-07,1120
41400,-0.15530397621270084,1.8246506332492356e-07,1117
42300,-0.15558935323384232,1.7985918183919574e-07,1114
43200,-0.15230936722411015,3.382254923394565e-07,1111
44100,-0.14264660708770943,1.8674421498098416e-06,1108
45000,-0.13625162526456555,5.4857074244596734e-06,1105
45900,-0.13272997823279156,9.836905414688242e-06,1102
46800,-0.13184146337364963,1.1605056540071427e-05,1099
47700,-0.12684297492237223,2.5370401729314856e-05,1096
48600,-0.13178159911064272,1.2375698872181313e-05,1093
49500,-0.14346770280789842,1.9766674016122925e-06,1090
50400,-0.153628270624065,3.590287743162401e-07,1087
51300,-0.16317291934352773,6.576302393561857e-08,1084
52200,-0.17136634958596494,1.4300474612159381e-08,1081
53100,-0.17522967353268679,6.9764213360748985e-09,1078
54000,-0.17285738559812425,1.1709461969963415e-08,1075
54900,-0.1716509805076776,1.553348591816146e-08,1072
55800,-0.17371721218974107,1.086410259632682e-08,1069
56700,-0.17704532728723887,5.894643835044254e-09,1066
57600,-0.18104576107268264,2.764451277291632e-09,1063
58500,-0.18652574851801448,9.389618115495296e-10,1060
59400,-0.19061792148151288,4.17565893994793e-10,1057
60300,-0.1909936831524569,4.079587860179444e-10,1054
61200,-0.18331800579904328,2.140871764363541e-09,1051
62100,-0.16927325742718533,3.52476769480701e-08,1048
63000,-0.16579090562239765,7.031518461018202e-08,1045
63900,-0.17178199712311723,2.4051873217825287e-08,1042
64800,-0.1792805996264141,5.9166188057820035e-09,1039
65700,-0.18823672636205008,1.0208460503531296e-09,1036
66600,-0.1930086916173341,3.981490906756816e-10,1033
67500,-0.18609402068794542,1.7678313247398257e-09,1030
68400,-0.18866342032061711,1.1046502051152965e-09,1027
69300,-0.20280883850516757,5.748231888201692e-11,1024
70200,-0.2157291650053376,3.2385392559316924e-12,1021
71100,-0.22933573952483702,1.290303714142207e-13,1018
72000,-0.23200815161877683,7.164833226249753e-14,1015
72900,-0.23054564335536554,1.1253247044765857e-13,1012
73800,-0.22945977250600108,1.602462563570771e-13,1009
74700,-0.22610501163239832,3.9650768108426905e-13,1006
75600,-0.22225924925501764,1.083629353056224e-12,1003
76500,-0.22202764933923685,1.2370994464342586e-12,1000
77400,-0.22984458751404496,2.0287541139911188e-13,997
78300,-0.23813253164819007,2.7826917240586353e-14,994
79200,-0.23948461622833858,2.1561535940193728e-14,991
80100,-0.23995126759118207,2.094858288318465e-14,988
81000,-0.2432606480219897,9.821186014240562e-15,985
81900,-0.24655359545569608,4.589319714680187e-15,982
82800,-0.24728147511289753,4.176368297905402e-15,979
83700,-0.25011256199840604,2.189246282869856e-15,976
84600,-0.2457265480743506,7.569234012453784e-15,973
85500,-0.23882695801466666,4.773252581937271e-14,970
86400,-0.2348236320951078,1.398837633939534e-13,967
