lag_seconds,r,p_value,n
-86400,-0.01783579371477499,1.0458594470920584e-08,102949
-85500,-0.017760648618715066,1.2045158961201663e-08,102952
-84600,-0.017676089644589346,1.4111469286998424e-08,102955
-83700,-0.017578619985357914,1.6923115173087658e-08,102958
-82800,-0.017476603192819632,2.044752201220397e-08,102961
-81900,-0.0173903127626054,2.397475420650006e-08,102964
-81000,-0.017313549598814527,2.760231130717984e-08,102967
-80100,-0.017240281124237596,3.155773651206074e-08,102970
-79200,-0.017149772202981528,3.7211753977380816e-08,102973
-78300,-0.01705421845906721,4.42458298781114e-08,102976
-77400,-0.01698199204217044,5.039644987827471e-08,102979
-76500,-0.016914001870289172,5.693723667871548e-08,102982
-75600,-0.016845912934766727,6.430898134923178e-08,102985
-74700,-0.016788654048124952,7.12119378473392e-08,102988
-73800,-0.016726171666227842,7.956663219620695e-08,102991
-72900,-0.016645598941278955,9.176256596947508e-08,102994
-72000,-0.016570679679715896,1.0471079903033314e-07,102997
-71100,-0.01648890772526441,1.2086567165598585e-07,103000
-70200,-0.01640028310434691,1.4110015215972371e-07,103003
-69300,-0.016302778747003043,1.67153633684372e-07,103006
-68400,-0.01621645751106579,1.9404512612219585e-07,103009
-67500,-0.01614438466214426,2.1964525472195818e-07,103012
-66600,-0.01608084207529075,2.4488715420080104e-07,103015
-65700,-0.016023442333089714,2.700709749209012e-07,103018
-64800,-0.015946601190845632,3.077703926157624e-07,103021
-63900,-0.015854818516300915,3.595108686174408e-07,103024
-63000,-0.015772628461994207,4.1287609054978995e-07,103027
-62100,-0.01570129224255004,4.653001120456876e-07,103030
-61200,-0.015633084963061195,5.213853584500511e-07,103033
-60300,-0.015560168525235299,5.885568484150219e-07,103036
-59400,-0.015481406608893796,6.704937709765512e-07,103039
-58500,-0.015402029540604274,7.641451917356303e-07,103042
-57600,-0.015325922682111252,8.65681310191943e-07,103045
-56700,-0.015261631961551388,9.614143506417217e-07,103048
-55800,-0.01520690282415518,1.0508148536995075e-06,103051
-54900,-0.015152550035133357,1.147490495708917e-06,103054
-54000,-0.015077650371071238,1.2950116682058185e-06,103057
-53100,-0.014981702148238138,1.5109550136726737e-06,103060
-52200,-0.014875041495649718,1.7916839856188687e-06,103063
-51300,-0.014775878966586345,2.097108133379398e-06,103066
-50400,-0.014668770860972376,2.4831132095243248e-06,103069
-49500,-0.014551379250018641,2.9844660989807947e-06,103072
-48600,-0.014438943881673544,3.5547192387772545e-06,103075
-47700,-0.014347324592746534,4.095046314652412e-06,103078
-46800,-0.014267867147727658,4.626431356237504e-06,103081
-45900,-0.014184393597305006,5.255676330764321e-06,103084
-45000,-0.014090135051932334,6.064945558178092e-06,103087
-44100,-0.014009855764614472,6.846708932130357e-06,103090
-43200,-0.013933510176218926,7.678838456528184e-06,103093
-42300,-0.013858622565221496,8.58844141161324e-06,103096
-41400,-0.013779033200859091,9.66790249376856e-06,103099
-40500,-0.01368738684631635,1.107196929255591e-05,103102
-39600,-0.013600365437655564,1.258368590783053e-05,103105
-38700,-0.0135310501901043,1.3925966328546078e-05,103108
-37800,-0.013460549388332892,1.5430804026332973e-05,103111
-36900,-0.013380090309566006,1.7338272807050552e-05,103114
-36000,-0.013297378204166516,1.9532466937243908e-05,103117
-35100,-0.01321390796464729,2.201349847805283e-05,103120
-34200,-0.01312640675243292,2.4935429967288642e-05,103123
-33300,-0.013042792370265281,2.8069272019759177e-05,103126
-32400,-0.01296309142066694,3.140200543186464e-05,103129
-31500,-0.012879048323516601,3.5322592928532944e-05,103132
-30600,-0.012796743335819333,3.960940441688877e-05,103135
-29700,-0.01271309799336564,4.4469444269862907e-05,103138
-28800,-0.012620191463900626,5.0530629975473696e-05,103141
-27900,-0.012515730397365818,5.828079488452858e-05,103144
-27000,-0.012408150026294753,6.743199219214608e-05,103147
-26100,-0.012319950247718713,7.592952826545902e-05,103150
-25200,-0.012248508594977295,8.354121759390685e-05,103153
-24300,-0.012179688952179347,9.155047635661479e-05,103156
-23400,-0.012119253282957591,9.917438579399757e-05,103159
-22500,-0.01205006324109633,0.00010864160655350492,103162
-21600,-0.011964454041352476,0.00012154396908222026,103165
-20700,-0.011857884609037705,0.00013963511143341302,103168
-19800,-0.011776843481212055,0.00015505154081844075,103171
-18900,-0.01170301378779151,0.00017047506172018762,103174
-18000,-0.011632744031669402,0.0001864841959840955,103177
