lag_seconds,r,p_value,n
-86400,0.0915412730792271,9.579904520731806e-14,6592
-85500,0.09288342096920633,4.095067133624713e-14,6595
-84600,0.09396504434238796,2.0400327394972117e-14,6598
-83700,0.09489444716076804,1.1113205467388e-14,6601
-82800,0.09580818706137977,6.077371476557044e-15,6604
-81900,0.09680857052113026,3.1209207821560165e-15,6607
-81000,0.09803564445341702,1.3689499127737135e-15,6610
-80100,0.09949826947259842,5.068849115123275e-16,6613
-79200,0.10118903473891243,1.5810071550385657e-16,6616
-78300,0.10320356467391607,3.85410229570069e-17,6619
-77400,0.10563231012918928,6.7897372309774775e-18,6622
-76500,0.10849553976338439,8.339848822763565e-19,6625
-75600,0.11179622841346258,6.943879880180121e-20,6628
-74700,0.11542744214780715,4.1352381574398024e-21,6631
-73800,0.1190993602333607,2.172077248487167e-22,6634
-72900,0.12252899819131977,1.2697901837068732e-23,6637
-72000,0.12543523918015362,1.068610225656208e-24,6640
-71100,0.12772853719429414,1.444742102721423e-25,6643
-70200,0.12953506162012812,2.891959935013601e-26,6646
-69300,0.13105552836869042,7.299941542750864e-27,6649
-68400,0.1325551173507438,1.8456509564580102e-27,6652
-67500,0.13408806560536823,4.450334083534613e-28,6655
-66600,0.13547616480088123,1.2057344221854574e-28,6658
-65700,0.1366880383954648,3.796252736157604e-29,6661
-64800,0.13769710036993799,1.4309074455828725e-29,6664
-63900,0.13848662505209092,6.58988948562487e-30,6667
-63000,0.139074297195393,3.660471677447086e-30,6670
-62100,0.13941070306685135,2.5780476963715253e-30,6673
-61200,0.13940786675549907,2.509496550768836e-30,6676
-60300,0.13892544822611613,3.8611340919171584e-30,6679
-59400,0.13802280769070308,8.839223353448037e-30,6682
-58500,0.1368416535924312,2.6162245558576113e-29,6685
-57600,0.13552388201637877,8.716439349466088e-29,6688
-56700,0.13416720129085458,2.9768498904444738e-28,6691
-55800,0.132772676458233,1.0400275698803897e-27,6694
-54900,0.13130971694682794,3.817034265256647e-27,6697
-54000,0.1297518438060432,1.5037541491332814e-26,6700
-53100,0.12825254073927597,5.538348487574499e-26,6703
-52200,0.12712296924913286,1.4559600056036696e-25,6706
-51300,0.12636505249412353,2.7502278337741006e-25,6709
-50400,0.12589482091302262,4.0365305644519136e-25,6712
-49500,0.12550001990912665,5.544294411986411e-25,6715
-48600,0.12517186059290814,7.18464459387446e-25,6718
-47700,0.12504634398918582,7.81630344090726e-25,6721
-46800,0.12523751557900042,6.471964191641818e-25,6724
-45900,0.12559983507154895,4.61924846800021e-25,6727
-45000,0.12594195293060118,3.351277529435125e-25,6730
-44100,0.12616557272437146,2.692849565582662e-25,6733
-43200,0.12611492875618957,2.7467562706964945e-25,6736
-42300,0.1257382036153243,3.7204393577767286e-25,6739
-41400,0.12518035344982253,5.890518446175755e-25,6742
-40500,0.12457485008684371,9.7000958473395e-25,6745
-39600,0.12407025129358211,1.461840690919434e-24,6748
-38700,0.12376587983730683,1.853622862085397e-24,6751
-37800,0.12369760664656042,1.919827638986162e-24,6754
-36900,0.12394863663806674,1.5123446308917795e-24,6757
-36000,0.1246388416609061,8.153926091701657e-25,6760
-35100,0.12590328849081905,2.656149038423521e-25,6763
-34200,0.12774498553020294,5.131015343819865e-26,6766
-33300,0.12996450904141346,6.876052975132182e-27,6769
-32400,0.1323387228475107,7.706781734757571e-28,6772
-31500,0.13468941322165318,8.468445903937256e-29,6775
-30600,0.136797820796101,1.1248571930502302e-29,6778
-29700,0.13855171710993217,2.035220829835724e-30,6781
-28800,0.13991819420742613,5.250709436061409e-31,6784
-27900,0.1409417432743559,1.8709188557130599e-31,6787
-27000,0.14202546074650657,6.228259853707186e-32,6790
-26100,0.14340126108166049,1.533734126138699e-32,6793
-25200,0.14509513245973793,2.6966623198761084e-33,6796
-24300,0.1470686083578661,3.4795627785735744e-34,6799
-23400,0.14915872804267322,3.8582513914702964e-35,6802
-22500,0.15129189671310192,3.952752610094777e-36,6805
-21600,0.15343823230583437,3.855451648585926e-37,6808
-20700,0.1557250929632008,3.1128691691772423e-38,6811
-19800,0.15823825026825653,1.877405340690559e-39,6814
-18900,0.161059368365456,7.611442733183298e-41,6817
-18000,0.16424170752113945,1.9122364176589e-42,6820
-17100,0.16773367336956765,3.08251968054736e-44,6823
-16200,0.1713919191497662,3.699755368263918e-46,6826
-15300,0.17508782551244156,3.822562406490391e-48,6829
-14400,0.17877824133511316,3.577518040265861e-50,6832
-13500,0.18244737447771414,3.0952545025780522e-52,6835
-12600,0.18594272342057017,3.032687358414119e-54,6838
-11700,0.1892786018564547,3.3456483047083608e-56,6841
-10800,0.19248891696944959,4.014387825813153e-58,6844
-9900,0.195528350122156,5.631887481284915e-60,6847
-9000,0.1984765345937996,8.349096337785838e-62,6850
-8100,0.2013708250511309,1.2467802219632678e-63,6853
-7200,0.2042335815405655,1.8211463189587231e-65,6856
-6300,0.20713996422053702,2.3308568263991817e-67,6859
-5400,0.2101710512323251,2.3044612999870006e-69,6862
-4500,0.2132597345017578,1.932973375905276e-71,6865
-3600,0.21632030836505198,1.565397117500055e-73,6868
-2700,0.21930636476927715,1.3197436083036987e-75,6871
-1800,0.2221479667744399,1.3029707547987247e-77,6874
-900,0.22482794122644548,1.5644722834954624e-79,6877
0,0.2275252856079423,1.716858824773649e-81,6880
