lag_seconds,r,p_value,n
-86400,0.20139848540332156,4.0617186207598796e-222,24447
-85500,0.20131876814006247,5.747970360935476e-222,24450
-84600,0.20137494785690235,4.0478274272354794e-222,24453
-83700,0.20157121232387157,1.387051402679241e-222,24456
-82800,0.20175003677202516,5.1926696446345904e-223,24459
-81900,0.20181944697397466,3.412296652885146e-223,24462
-81000,0.2018414643995695,2.8619838506912352e-223,24465
-80100,0.20194728089495462,1.558376831076861e-223,24468
-79200,0.2018857021596588,2.0109443754473294e-223,24471
-78300,0.20178576149099287,3.162057537554987e-223,24474
-77400,0.20170212869666587,4.5708250689353786e-223,24477
-76500,0.20173208873074036,3.680234167082013e-223,24480
-75600,0.20180979631331922,2.3165510732381946e-223,24483
-74700,0.20186232028057052,1.6599798203330357e-223,24486
-73800,0.20191209612232358,1.2063114136748372e-223,24489
-72900,0.2018953431992776,1.2355447305765623e-223,24492
-72000,0.2017872327695737,2.0273426878477355e-223,24495
-71100,0.20167482011686397,3.4005237801266306e-223,24498
-70200,0.20165065030498852,3.618926246894471e-223,24501
-69300,0.20156338537975507,5.331386732184458e-223,24504
-68400,0.2013804808055474,1.2851488071157907e-222,24507
-67500,0.20107195284134377,5.906231106743411e-222,24510
-66600,0.2007705061929747,2.6116036600685e-221,24513
-65700,0.20060230279563782,5.81969745321343e-221,24516
-64800,0.2004847737621726,9.99649009408643e-221,24519
-63900,0.2004180218094859,1.3234064471334767e-220,24522
-63000,0.2004141965377614,1.2690387370891e-220,24525
-62100,0.20023325386821753,3.0155164575030143e-220,24528
-61200,0.2000393458699694,7.651793348582659e-220,24531
-60300,0.1997761971588414,2.7637471090354712e-219,24534
-59400,0.1994582080194311,1.3184498537125644e-218,24537
-58500,0.1992925788984339,2.8868794963180274e-218,24540
-57600,0.1992950596466014,2.68230415662329e-218,24543
-56700,0.19947027317445243,1.0325325033288928e-218,24546
-55800,0.19969366643667294,3.103968734035359e-219,24549
-54900,0.19973751688402358,2.3336379864282467e-219,24552
-54000,0.1995733454919032,5.0800587910469026e-219,24555
-53100,0.1991501163559809,4.143396396175539e-218,24558
-52200,0.19865736776530843,4.791320973331766e-217,24561
-51300,0.19840406933714094,1.6337521435737888e-216,24564
-50400,0.19837279336895777,1.8029086143219104e-216,24567
-49500,0.19820673628059987,3.9433305067985863e-216,24570
-48600,0.19803690401086146,8.786640862108559e-216,24573
-47700,0.19789080804587103,1.7350249417459844e-215,24576
-46800,0.19780409313700456,2.535280499981169e-215,24579
-45900,0.1978208552540711,2.193437243938698e-215,24582
-45000,0.1978222658123387,2.051115465986065e-215,24585
-44100,0.19790302891651299,1.282925888571877e-215,24588
-43200,0.19807167540097967,5.136478879770025e-216,24591
-42300,0.19829597830223591,1.5484548275197293e-216,24594
-41400,0.19836733616309823,1.0144340541609747e-216,24597
-40500,0.19845241666679267,6.196345560991522e-217,24600
-39600,0.19841215885256985,7.159289492678833e-217,24603
-38700,0.19831540485457994,1.1024780885090742e-216,24606
-37800,0.19840420262265676,6.6079620902146856e-217,24609
-36900,0.19846472151284658,4.572286966395559e-217,24612
-36000,0.19854795039761652,2.8177343743180488e-217,24615
-35100,0.19865212499452994,1.5602180023214721e-217,24618
-34200,0.19881683668887562,6.341505656639631e-218,24621
