lag_seconds,r,p_value,n
-86400,,,0
-85500,,,0
-84600,,,0
-83700,,,0
-82800,,,3
-81900,,,6
-81000,,,9
-80100,,,12
-79200,,,15
-78300,,,18
-77400,,,21
-76500,,,24
-75600,,,27
-74700,,,30
-73800,,,33
-72900,,,36
-72000,,,39
-71100,,,42
-70200,,,45
-69300,,,48
-68400,0.2076129262259433,0.14377461326736488,51
-67500,0.26650317945408275,0.05142033522816034,54
-66600,0.4159879616271573,0.0012896534157688171,57
-65700,0.4657399398991217,0.00017683634368093493,60
-64800,0.356878495711864,0.004090364516989242,63
-63900,0.29142242969769616,0.01759308588313392,66
-63000,0.31207590510169425,0.009041381764307674,69
-62100,0.3604440211252999,0.001869579048816932,72
-61200,0.4278929245319241,0.00012849924014662274,75
-60300,0.5029001953624525,2.701917730652754e-06,78
-59400,0.5674383524738106,3.31972067843635e-08,81
-58500,0.5617603374781862,2.7036112770509626e-08,84
-57600,0.5331226715043967,1.0604132974204646e-07,87
-56700,0.5756893260679987,2.9229723474841953e-09,90
-55800,0.5895101700322875,5.071101525243688e-10,93
-54900,0.4377701202180924,8.183986946113893e-06,96
-54000,0.23019010937946857,0.021897125139664776,99
-53100,0.09417732278312183,0.34644017753172457,102
-52200,0.04813713662329248,0.6258068623518102,105
-51300,0.05669915034253358,0.5599959043137558,108
-50400,0.050010194985726036,0.6021912130496192,111
-49500,0.0352350106672043,0.7097614147399685,114
-48600,0.012754696157659232,0.8914359729568958,117
-47700,-0.007854211156436327,0.9321506313081048,120
-46800,-0.04345249702529192,0.6332079758910637,123
-45900,-0.09561504468686903,0.2868659828687886,126
-45000,-0.14095860941189697,0.1110782597284336,129
-44100,-0.17226879369972,0.04824710770285878,132
-43200,-0.24746911263319896,0.0038067817551032676,135
-42300,-0.30172845016979283,0.000322578111353056,138
-41400,-0.3025851123078951,0.0002654359563320941,141
-40500,-0.30330755480323834,0.000219531641985122,144
-39600,-0.3233181136382595,6.486299979514044e-05,147
-38700,-0.396200300903139,5.199921836417472e-07,150
-37800,-0.45514492550626995,3.4037403167510644e-09,153
