lag_seconds,r,p_value,n
-86400,-0.2860117734328106,2.521075829536472e-24,1216
-85500,-0.2886080189035994,8.163776780386306e-25,1219
-84600,-0.28675490820184724,1.4635298995888907e-24,1222
-83700,-0.2871202152896872,1.1162660382892552e-24,1225
-82800,-0.29089665044953944,2.24668458645444e-25,1228
-81900,-0.2980890139290299,1.1094238760472601e-26,1231
-81000,-0.30464831027957034,6.476241057269241e-28,1234
-80100,-0.30529578468405894,4.262591293250331e-28,1237
-79200,-0.3059018390653245,2.849276013060054e-28,1240
-78300,-0.3040555611456215,5.338216637087654e-28,1243
-77400,-0.30839087275364646,7.348178486496644e-29,1246
-76500,-0.3128710115156295,9.124786518748977e-30,1249
-75600,-0.3161713371035879,1.8312069087429538e-30,1252
-74700,-0.3166317663615338,1.2732022603924167e-30,1255
-73800,-0.31323798512292655,4.8683299801359835e-30,1258
-72900,-0.30937667004298913,2.2526144460229866e-29,1261
-72000,-0.31060110105074934,1.1344981322193539e-29,1264
-71100,-0.31157032796499906,6.360364539568966e-30,1267
-70200,-0.3079882274006591,2.6141842236141024e-29,1270
-69300,-0.30788111278134184,2.3559688893576716e-29,1273
-68400,-0.30911993071317073,1.1786266124545916e-29,1276
-67500,-0.30756463294055125,2.0022059876686605e-29,1279
-66600,-0.29994377995730936,4.619996683952992e-28,1282
-65700,-0.29382809989016917,5.260300036033538e-27,1285
-64800,-0.29625078886205236,1.6630706996136512e-27,1288
-63900,-0.29401018536906487,3.709518634385779e-27,1291
-63000,-0.2898811874160891,1.8004034335715766e-26,1294
-62100,-0.286802637482242,5.581630810239884e-26,1297
-61200,-0.2848427602094869,1.089297953055806e-25,1300
-60300,-0.28180489297123823,3.2723422504536817e-25,1303
-59400,-0.2741587330510448,5.980271158407373e-24,1306
-58500,-0.2659021800674825,1.2689178313882502e-22,1309
-57600,-0.26333880457906683,2.9803671915093265e-22,1312
-56700,-0.2616028002745263,5.114763411903018e-22,1315
-55800,-0.2631142898803909,2.6080369976742325e-22,1318
-54900,-0.26302345309285774,2.4207307000212848e-22,1321
-54000,-0.26294475485576485,2.2369341453669677e-22,1324
-53100,-0.2611672061908915,3.919196454474574e-22,1327
-52200,-0.26024876309566175,4.970054225966529e-22,1330
-51300,-0.2585002647563501,8.592532819820288e-22,1333
-50400,-0.2585593392461491,7.568498034052111e-22,1336
-49500,-0.2606478134946687,3.1079313494859838e-22,1339
-48600,-0.26110654601087724,2.347925294048683e-22,1342
-47700,-0.2628742568053499,1.0747595196264039e-22,1345
-46800,-0.2617314912693804,1.493519496117344e-22,1348
-45900,-0.25839208755399756,4.7716843995063845e-22,1351
-45000,-0.25101987269259185,6.676396035473202e-21,1354
-44100,-0.24513970945325889,5.087061061328401e-20,1357
-43200,-0.24292404163600823,1.0198923989041872e-19,1360
-42300,-0.24694040836183667,2.202575021956675e-20,1363
-41400,-0.2521393855756007,2.9721184947650527e-21,1366
-40500,-0.25272193346422955,2.165630986113052e-21,1369
-39600,-0.25512553417858586,7.942104267881377e-22,1372
-38700,-0.25823289064356353,2.194515084072412e-22,1375
-37800,-0.26128036367627877,6.076372279305726e-23,1378
-36900,-0.2630993421694335,2.675829472882483e-23,1381
-36000,-0.2628915350885013,2.6051989720316323e-23,1384
-35100,-0.26456301991931597,1.2051929873654996e-23,1387
-34200,-0.2666774425224276,4.6310728506226235e-24,1390
-33300,-0.26847940326421915,1.997802878373641e-24,1393
-32400,-0.2645967718159318,8.550576132901956e-24,1396
-31500,-0.25781902906973186,1.1170810813227535e-22,1399
-30600,-0.2536688087666715,5.014498012856058e-22,1402
-29700,-0.24930466503844292,2.386224562887396e-21,1405
-28800,-0.24458475713018255,1.2633015897348127e-20,1408
-27900,-0.2401614499982867,5.829036463115837e-20,1411
-27000,-0.23850252267916813,9.719612175579265e-20,1414
-26100,-0.24226106426395683,2.254992697670636e-20,1417
-25200,-0.2445626680779803,8.760712092475767e-21,1420
-24300,-0.24451353906171786,8.126136723068363e-21,1423
-23400,-0.24630487941237048,3.774686781378867e-21,1426
-22500,-0.2505414722981083,6.811731657407645e-22,1429
-21600,-0.25510065059064685,1.0427460613370382e-22,1432
-20700,-0.2580862546760913,2.874561700226165e-23,1435
-19800,-0.2536635299184001,1.498940616101398e-22,1438
-18900,-0.2517272168718089,2.896789990261079e-22,1441
-18000,-0.25230657993853,2.0903089376442352e-22,1444
-17100,-0.2505332585294684,3.789600766342704e-22,1447
-16200,-0.24965480575813295,4.839409946871711e-22,1450
-15300,-0.25237693719519055,1.5075530111687996e-22,1453
-14400,-0.261764331405828,3.0738048331470592e-24,1456
-13500,-0.2680026434299858,2.0251043052268186e-25,1459
-12600,-0.27134080005668265,4.3312459700380783e-26,1462
-11700,-0.27559441083802855,6.037987677679378e-27,1465
-10800,-0.27862283631446527,1.3982608220841637e-27,1468
-9900,-0.2815351488215123,3.3372272715866856e-28,1471
-9000,-0.28147411800887284,3.028131545726073e-28,1474
-8100,-0.2828909185551602,1.4014014151822324e-28,1477
-7200,-0.28865379607174213,8.551617583164984e-30,1480
-6300,-0.29253745328847836,1.1922914745981828e-30,1483
-5400,-0.2942577124503862,4.562821524255434e-31,1486
-4500,-0.2921216565436331,1.1101871344258339e-30,1489
-3600,-0.2935849273995411,4.801870387428541e-31,1492
-2700,-0.2962347395248137,1.1573199317905046e-31,1495
-1800,-0.2964380913806091,9.119614244037872e-32,1498
-900,-0.2962743600439005,8.59993462759843e-32,1501
0,-0.29718756541511243,4.7760993409806796e-32,1504
