lag_seconds,r,p_value,n
-86400,0.1059244394703948,6.814229952314756e-08,2583
-85500,0.1095267020041294,2.352592150380971e-08,2586
-84600,0.107815576846728,3.81339649067108e-08,2589
-83700,0.10230521294717577,1.791948552833484e-07,2592
-82800,0.10154742104165368,2.1734712501188204e-07,2595
-81900,0.10483222741845784,8.529657543743814e-08,2598
-81000,0.09946971038646538,3.7127130038542616e-07,2601
-80100,0.09043380791638589,3.7998371196219218e-06,2604
-79200,0.08419451275999854,1.6739913952013327e-05,2607
-78300,0.07726875936623098,7.765109159680826e-05,2610
-77400,0.07079198664285177,0.00029287395509447614,2613
-76500,0.06797345401771407,0.0005033065916097048,2616
-75600,0.06334271654263147,0.0011813418822844985,2619
-74700,0.06027537521606279,0.0020166807074801143,2622
-73800,0.05789601930935143,0.003003645470323334,2625
-72900,0.05714586063514087,0.0033838667479389856,2628
-72000,0.05534533395432799,0.004516009363891384,2631
-71100,0.05651105979885767,0.0037169946692373066,2634
-70200,0.056101107923317774,0.003954199203292345,2637
-69300,0.05299080142934,0.006462538145118985,2640
-68400,0.05053693653007391,0.009362081879767612,2643
-67500,0.05310163287418834,0.006292306083479137,2646
-66600,0.05027754316685155,0.009650077885008672,2649
-65700,0.04530657209523397,0.01963362990230986,2652
-64800,0.042634424109335795,0.028036507394833675,2655
-63900,0.03989761073405267,0.03970504351725704,2658
-63000,0.03393743747537063,0.08005960777970285,2661
-62100,0.025303114245195386,0.19169208913317348,2664
-61200,0.01903114281092933,0.32587641254529687,2667
-60300,0.01371865502716502,0.4785899120628774,2670
-59400,0.011381818018252197,0.5564008036618326,2673
-58500,0.0137506521354993,0.47706970385616854,2676
-57600,0.012153033434487844,0.529506709816015,2679
-56700,0.008434857167767472,0.6623805988932117,2682
-55800,0.00834739496346456,0.6654921636591102,2685
-54900,0.01215219584633748,0.5288437394959724,2688
-54000,0.016870286907657423,0.38168314967156874,2691
-53100,0.018398729840960398,0.3397796077592168,2694
-52200,0.014838997899959095,0.4411138740799082,2697
-51300,0.010557567476422657,0.5834525972357418,2700
-50400,0.0072621146988133805,0.7058834507998729,2703
-49500,0.007988261471919876,0.6778799799257816,2706
-48600,0.0070834144152283115,0.7124911930195265,2709
-47700,0.003413808695813497,0.8589593567396444,2712
-46800,-0.001258191326725136,0.947753034056195,2715
-45900,-0.0030732882942471175,0.8727622494779516,2718
-45000,-0.002125226556794428,0.9117687468793165,2721
-44100,-0.0017780211520335742,0.9260975042955107,2724
-43200,-0.0032721363605023434,0.8643847091606028,2727
-42300,-0.0044458745963894195,0.8163911808526193,2730
-41400,-0.0036017878597617015,0.8507127342391836,2733
-40500,0.0008887456880076731,0.9629386753623185,2736
-39600,0.005598196881413407,0.7696347092361184,2739
-38700,0.006963118397114918,0.7155177778241464,2742
-37800,0.010436176300509196,0.5846908196142321,2745
-36900,0.012918347505111222,0.4984582311584514,2748
-36000,0.012894651538019724,0.4990121399325334,2751
-35100,0.013072481392192274,0.4928752183977934,2754
-34200,0.011858083577493532,0.5336962309804772,2757
-33300,0.00847085911757634,0.6564433933532287,2760
-32400,0.004911069322056369,0.7963826721365458,2763
-31500,0.0003159179850444539,0.9867497461763558,2766
-30600,-0.0018480385719035941,0.9225657056917824,2769
-29700,-0.0005081793731280409,0.9786643418342605,2772
-28800,0.002337072216087765,0.9020614715932873,2775
-27900,0.007996930299258428,0.6735293618899959,2778
-27000,0.013254392023481049,0.4847462229856362,2781
-26100,0.016798766123312228,0.37560231085293033,2784
-25200,0.01817676280906843,0.3374392416840449,2787
-24300,0.019997560684106727,0.29100823588441865,2790
-23400,0.02340943747225166,0.21616976850639882,2793
-22500,0.027657931820201924,0.14371376310378992,2796
-21600,0.030477478917358483,0.10694391976554472,2799
-20700,0.031174539606405788,0.09897253899614275,2802
-19800,0.03248311278267839,0.08542047521895317,2805
-18900,0.03352412964005012,0.07570476381231644,2808
-18000,0.035656093743875295,0.05873044006779524,2811
-17100,0.038150193468508106,0.0430116877776861,2814
-16200,0.04317005067684791,0.021944928139385644,2817
-15300,0.042699892531477726,0.02335665059488746,2820
-14400,0.03891538324015266,0.03868554853105056,2823
-13500,0.03872701847443711,0.039533055803415776,2826
-12600,0.03543326741297173,0.05951147871257606,2829
-11700,0.033936350411188754,0.07096554059230363,2832
-10800,0.03125981270305026,0.09609393581286704,2835
-9900,0.02709087640707451,0.14906609034275808,2838
-9000,0.023723406785234352,0.2061928847405498,2841
-8100,0.021228349500967907,0.25775215902039467,2844
-7200,0.02073390717467807,0.2687533264634258,2847
-6300,0.022117646996856186,0.2378468704883975,2850
-5400,0.019974383681198127,0.28617950419101457,2853
-4500,0.017061599310413834,0.36205009392171045,2856
-3600,0.012872599589902875,0.49143987964697067,2859
-2700,0.007813928813974845,0.6760562796956617,2862
-1800,0.0037903843946687863,0.8392951481938435,2865
-900,0.0009407989299362543,0.9598344579537061,2868
0,-0.0022030693239826152,0.906073230723501,2871
900,-0.0016224019802821355,0.9307924696972303,2868
1800,-0.003081194628153579,0.8690608642067456,2865
2700,-0.005106424159895679,0.7848038629415028,2862
3600,-0.005017183019155577,0.7885829129480812,2859
4500,-0.004162746519483297,0.824028018507234,2856
5400,-0.005006345596323379,0.7892452399049539,2853
6300,-0.006200716115566097,0.7407308845184527,2850
7200,-0.005537582101668097,0.7677319762890161,2847
8100,-0.005526220625622996,0.768313648245727,2844
9000,-0.005089704200037339,0.7862611654163515,2841
9900,-0.002308486454457834,0.9021659234740298,2838
10800,0.00046271287150434053,0.9803531588545691,2835
11700,0.0022735610267584274,0.9037403093759492,2832
12600,0.0009325679632776479,0.9604572155168071,2829
13500,0.0026198869557265275,0.889282493381896,2826
14400,0.006197527220422883,0.7420470050546777,2823
15300,0.009914542221631104,0.5986949904732942,2820
16200,0.01219849047177588,0.517517583887495,2817
17100,0.012602827257185204,0.5039589887744855,2814
18000,0.013351655292567372,0.4791897844023989,2811
18900,0.012169768484086164,0.5191736997457157,2808
19800,0.011619160036002198,0.5384732685980169,2805
20700,0.011340530010051624,0.5484728066950764,2802
21600,0.008950183719674489,0.6359901760757937,2799
22500,0.007601819215700203,0.6878392431315793,2796
23400,0.009548711250521919,0.6139635085155766,2793
24300,0.013721408131929945,0.46877093030254924,2790
25200,0.014654861464415065,0.4393125723696171,2787
26100,0.012877585125588594,0.4970168001268078,2784
27000,0.01012744304326219,0.5934479514746877,2781
27900,0.00842595439043589,0.6571058040923774,2778
28800,0.009536451513053676,0.6155628295297816,2775
29700,0.01114091843110163,0.5576600839316213,2772
30600,0.012064105692408674,0.5257120056802004,2769
31500,0.013176478217170223,0.48849508466774216,2766
32400,0.015420414888638665,0.41780002303279057,2763
33300,0.01760356523834513,0.3552425207824556,2760
34200,0.01699824149371381,0.3722917489255316,2757
35100,0.014558969786089527,0.44502965499966773,2754
36000,0.011214060352947242,0.5565803722247139,2751
36900,0.0075274468099705664,0.6932671947034837,2748
37800,0.006188036537053838,0.7458898296008213,2745
38700,0.007723940211839262,0.6860076658277153,2742
39600,0.007251141301396891,0.7044476132817216,2739
40500,0.006546205696714501,0.7321566006561296,2736
41400,0.00926501107709438,0.628282249720148,2733
42300,0.0114112249629864,0.5511912427743977,2730
43200,0.012793691663759476,0.5042508140012589,2727
44100,0.01566991122250553,0.4136324146801547,2724
45000,0.012930582593799565,0.5001721577319855,2721
45900,0.007205961504811074,0.7072805831835531,2718
46800,0.0028773678851035924,0.8808763121200335,2715
47700,0.000772078617300498,0.9679425231958914,2712
48600,0.0008216405046756303,0.9659047595028886,2709
49500,0.0013602713065932169,0.9436145532617979,2706
50400,0.0037945338256357114,0.84367985084644,2703
51300,0.0057080887937482495,0.7668741792278125,2700
52200,0.0075375249401896,0.6955993504617686,2697
53100,0.010476238875191992,0.5867727066244103,2694
54000,0.015950604981643166,0.4081784517062597,2691
54900,0.021665871467935523,0.26148146139394235,2688
55800,0.02570458902999655,0.18301333225811903,2685
56700,0.028512015196715184,0.1398921313674224,2682
57600,0.02982792543635125,0.12271236824012276,2679
58500,0.031032833706633702,0.10850104231199915,2676
59400,0.0349120997263105,0.07112186562998568,2673
60300,0.03731742444027861,0.053850630643168945,2670
