lag_seconds,r,p_value,n
-86400,0.0857296804700101,3.9784869644340065e-05,2291
-85500,0.08214753150603697,8.181189062660286e-05,2294
-84600,0.07851125103661184,0.00016550057993032426,2297
-83700,0.07550014217570057,0.0002900091120422014,2300
-82800,0.07230191891904085,0.0005158265772921141,2303
-81900,0.06928186545943374,0.0008710539004461572,2306
-81000,0.06801040391951285,0.0010752595072004685,2309
-80100,0.06855535446505832,0.0009721555676272453,2312
-79200,0.06791018873183012,0.0010774870774855766,2315
-78300,0.06513463714650128,0.0017034438593232792,2318
-77400,0.06049615148406408,0.0035499509447441745,2321
-76500,0.05859563739658068,0.004718038680728426,2324
-75600,0.06028217544050709,0.0036254694243878158,2327
-74700,0.06219646337277912,0.0026687168913679215,2330
-73800,0.06682767936029742,0.0012390547610118521,2333
-72900,0.07045419085052433,0.0006553273695426695,2336
-72000,0.06781121507265289,0.0010322263053845777,2339
-71100,0.0648298860901877,0.0016951451123386396,2342
-70200,0.06510506381172926,0.0016083309478147512,2345
-69300,0.06564803191854236,0.0014586253573380015,2348
-68400,0.0662530007731363,0.0013079027114094475,2351
-67500,0.06511893957235568,0.0015716346386346546,2354
-66600,0.06220708926286869,0.0025159802783692726,2357
-65700,0.061360860559153727,0.0028624926874560364,2360
-64800,0.062366606331998226,0.0024210916440505726,2363
-63900,0.06470768372470112,0.00163763461540939,2366
-63000,0.06807704335807573,0.0009145663688219704,2369
-62100,0.07023641442964158,0.0006189722124327849,2372
-61200,0.07040536006332873,0.0005956491514230243,2375
-60300,0.06925028782808441,0.0007268280971623012,2378
-59400,0.06693211135210693,0.0010833517079583647,2381
-58500,0.0668914426026924,0.0010830879301265421,2384
-57600,0.06684770218393471,0.001083414690648399,2387
-56700,0.06506549779832693,0.001459558873635708,2390
-55800,0.06207225338457202,0.0023830248926867094,2393
-54900,0.058361641081225685,0.004267419325210259,2396
-54000,0.05362122459834514,0.008617512371645064,2399
-53100,0.046929816866338785,0.021441992898459317,2402
-52200,0.040070428521209046,0.04943121284040488,2405
-51300,0.03534458563129341,0.0829094430612966,2408
-50400,0.03286679842076114,0.1066527779091363,2411
-49500,0.029544716998380686,0.1467325366419197,2414
-48600,0.023911236727815574,0.23995155448196948,2417
-47700,0.019042354725502298,0.34908739781007236,2420
-46800,0.016120801147621447,0.427677603050152,2423
-45900,0.014414574943668145,0.4779194699917081,2426
-45000,0.013462605019734392,0.5072079287962729,2429
-44100,0.009325425196232338,0.6457604149546308,2432
-43200,0.007010459601690214,0.7295209900967892,2435
-42300,0.005085955992280857,0.801816005269381,2438
-41400,0.0003136133152646338,0.9876439803394778,2441
-40500,-0.003599419665070022,0.8588380801607947,2444
-39600,-0.007814706718476153,0.6992154563111844,2447
-38700,-0.011101126267366822,0.5828584423414331,2450
-37800,-0.013273102268894794,0.5111288164445913,2453
-36900,-0.013272823214355262,0.5108792083855629,2456
-36000,-0.010984351204663421,0.5861422842077155,2459
-35100,-0.007592055040649102,0.7065297218383745,2462
-34200,-0.004700032880210847,0.8155798898207562,2465
-33300,-0.004308786380601077,0.8305871256292724,2468
-32400,-0.005437652168877484,0.7870323036994487,2471
-31500,-0.006791819144142101,0.7356242163221351,2474
-30600,-0.005237577360795593,0.7944459905912431,2477
-29700,-0.004740925539179679,0.8134493643157579,2480
-28800,-0.004107068315006788,0.8379222902367975,2483
-27900,-0.003063841060855736,0.878645868362342,2486
-27000,-0.0006380554348028884,0.9746183712815878,2489
-26100,0.002499464816845504,0.9007525727583213,2492
-25200,0.00545761770879266,0.7852581273031076,2495
-24300,0.006733355731786573,0.7365930265603078,2498
-23400,0.005556582108896418,0.7812058946991843,2501
-22500,0.0045198553785183665,0.821153422027328,2504
-21600,0.008677210962364212,0.6641003543034293,2507
-20700,0.016722104755218486,0.40235820606241035,2510
-19800,0.02378992678549456,0.23319836201732275,2513
-18900,0.029476081996906236,0.1393812341620966,2516
-18000,0.03268921143964278,0.10094617562318747,2519
-17100,0.0344048369289339,0.0840870281243182,2522
-16200,0.03485672505245876,0.07991256869869415,2525
-15300,0.03332859791029103,0.09386115744525256,2528
-14400,0.029719136902908765,0.13498415021974422,2531
-13500,0.02578949556603505,0.19435988817657052,2534
-12600,0.022645156699146535,0.25420721271437297,2537
-11700,0.019611682884389588,0.32314962355444526,2540
-10800,0.018181574162412246,0.3594107773362563,2543
-9900,0.015706270508867297,0.42826438283314705,2546
-9000,0.01173730252634025,0.5536375083009366,2549
-8100,0.008048967920220423,0.6844342525737142,2552
-7200,0.005160099902035887,0.7943225469495098,2555
-6300,0.005372424040885365,0.7859384486081714,2558
-5400,0.005528332696691132,0.779758205799737,2561
-4500,0.0054436839061099964,0.7829215521109194,2564
-3600,0.00560515573108534,0.7765235560937161,2567
-2700,0.004669615835782102,0.8129569710494049,2570
-1800,0.002467941873118764,0.9004245219697373,2573
-900,0.000747574333731193,0.9697481107855459,2576
0,-0.0002535350060183578,0.9897321127787194,2579
900,0.0004912949030622831,0.9801161958453581,2576
1800,0.0027497580857866787,0.889123586036686,2573
2700,0.0064196073460857685,0.7449630395170044,2570
3600,0.008763165074286717,0.6571994618545849,2567
4500,0.007837591942167581,0.6916060115477561,2564
5400,0.005247607653677349,0.7906749069891552,2561
6300,0.001021447003263041,0.9588186099535454,2558
7200,-0.0018891741108618943,0.9239610130107778,2555
8100,-0.00020916387596587132,0.9915735201583973,2552
9000,0.004509884360889538,0.8199705834768128,2549
9900,0.010689820189888585,0.589792716154839,2546
10800,0.017628962012243888,0.3742029273988864,2543
11700,0.026541203472382962,0.1811535626003864,2540
12600,0.036845679829175935,0.06351312274147451,2537
13500,0.04459769668718177,0.024767738137339127,2534
