lag_seconds,r,p_value,n
-86400,,,0
-85500,,,0
-84600,,,0
-83700,,,0
-82800,,,1
-81900,,,4
-81000,,,7
-80100,,,10
-79200,,,13
-78300,,,16
-77400,,,19
-76500,,,22
-75600,,,25
-74700,,,28
-73800,,,31
-72900,,,34
-72000,,,37
-71100,,,40
-70200,,,43
-69300,,,46
-68400,,,49
-67500,0.21250400281654883,0.13041410829270816,52
-66600,0.20967025225443206,0.12444668608557326,55
-65700,0.05728371129417043,0.66929633793043,58
-64800,-0.22253793364945124,0.08474240445978214,61
-63900,-0.3617672237334048,0.0033109963740962168,64
-63000,-0.423186646096495,0.00035977703150602536,67
-62100,-0.40284264355366806,0.0005452645231591881,70
-61200,-0.3303281678744291,0.004314529712775128,73
-60300,-0.2105636422231362,0.06788694294866368,76
-59400,0.02251070858349204,0.8438937676180814,79
-58500,0.22729425973145892,0.04001426710473443,82
-57600,0.3020571907438121,0.004961222781114925,85
-56700,0.32367359276496327,0.002096767670609775,88
-55800,0.36546590502827775,0.000367778170492151,91
-54900,0.2982876293327091,0.0034992326995577656,94
-54000,0.17049375721502752,0.09498882655304289,97
-53100,0.013718631972438356,0.8922419367603331,100
-52200,-0.12191977077699834,0.21988565677754718,103
-51300,-0.23986721248964563,0.0132651105782442,106
-50400,-0.32556650988480224,0.0005514360713476899,109
-49500,-0.3680668877287687,6.533760146025979e-05,112
-48600,-0.37502075289122516,3.6359967440101996e-05,115
-47700,-0.34250560506106087,0.00014678348068783732,118
-46800,-0.2859548630053259,0.0014751971827322405,121
-45900,-0.22349244043826488,0.012590496934516578,124
-45000,-0.13249766285153328,0.13755320114668793,127
-44100,-0.07655039381464954,0.3866820492310628,130
-43200,-0.05038420874225315,0.5646556121262262,133
-42300,-0.005221721552648171,0.9518899873511167,136
-41400,0.0346720490495021,0.6853246614901454,139
-40500,0.05504591769132173,0.515276530690719,142
-39600,0.05931591164500241,0.4785103269362944,145
-38700,0.059858756703801974,0.46987214224314205,148
-37800,0.05505340168245188,0.5019687439834362,151
-36900,0.059657626665727055,0.4623669763323717,154
-36000,0.0591523653700343,0.46179222610180115,157
