lag_seconds,r,p_value,n
-86400,-0.3073385647254159,0.002319655451258494,96
-85500,-0.20668488757147907,0.04011234303093895,99
-84600,-0.1457831991542483,0.1437370365574611,102
-83700,-0.04075768823621835,0.6797427020541457,105
-82800,0.032132029261147686,0.7413051443055686,108
-81900,0.011484298468227324,0.9047771540948055,111
-81000,-0.05178469047899439,0.5842529223887898,114
-80100,-0.12948801138653834,0.16408762963467385,117
-79200,-0.12184683671606318,0.18492586740898745,120
-78300,-0.09231007090859339,0.309874603166379,123
-77400,-0.09282931931887486,0.30120349604482477,126
-76500,-0.07407086475044485,0.4041448755565275,129
-75600,-0.03321916659652101,0.7053314067659655,132
-74700,-0.022304245786401205,0.7973532243821261,135
-73800,-0.020255867328959582,0.8135782818319878,138
-72900,-0.02150307527430083,0.8001977054629344,141
-72000,-0.001534353044155197,0.9854379982107706,144
-71100,0.0489899529579398,0.5556902639117609,147
-70200,0.06998197188258357,0.39478350400244633,150
-69300,0.08284201120598672,0.30865570293279465,153
-68400,0.09352569477637397,0.24552475057345574,156
-67500,0.1202531029690909,0.13108062536689472,159
-66600,0.13687789434699157,0.08241101420739047,162
-65700,0.14216616594292117,0.06852513159393014,165
-64800,0.15364310031964887,0.04676788012094513,168
-63900,0.17989075422541123,0.018554501822690157,171
-63000,0.2158069888611915,0.0042370705218224705,174
-62100,0.25838872056009937,0.0005157501681790663,177
-61200,0.29597064115115773,5.4846307804909704e-05,180
-60300,0.3264795308162335,6.467945485542922e-06,183
-59400,0.33875510436997464,2.251315376144114e-06,186
-58500,0.3584370073868808,4.099157981718134e-07,189
-57600,0.37225575747055245,1.0562330469411952e-07,192
-56700,0.36869773008043005,1.135917244209725e-07,195
-55800,0.3841929982471737,2.2998070134542006e-08,198
-54900,0.3786024520621785,2.99336794467981e-08,201
-54000,0.36588890304922517,7.382454836222513e-08,204
-53100,0.3603075723066677,9.674553371177573e-08,207
-52200,0.35624402662443366,1.1157346423438547e-07,210
-51300,0.3463867344793557,2.1361698776276493e-07,213
-50400,0.32946117312354667,7.309518796452878e-07,216
-49500,0.3145065070348853,2.047381067002731e-06,219
-48600,0.30749488272363446,3.0217982262851665e-06,222
-47700,0.2957535513745425,6.392848376901342e-06,225
