lag_seconds,r,p_value,n
-86400,0.02986632257662301,0.2226550043706543,1669
-85500,0.02588515922685762,0.2901318916976543,1672
-84600,0.025722816085728566,0.2927354155604587,1675
-83700,0.02909382772920521,0.23359624048818323,1678
-82800,0.03365226618121001,0.16786171102034836,1681
-81900,0.037006698829031695,0.12900928540498,1684
-81000,0.04048778468157245,0.09643097853875789,1687
-80100,0.03915314997246734,0.1076170555369609,1690
-79200,0.03473007766211948,0.15318192374347303,1693
-78300,0.031042261461689542,0.20133266637729277,1696
-77400,0.02492406025045071,0.3045398801750572,1699
-76500,0.02175244756563656,0.3697986348447202,1702
-75600,0.017955548692483947,0.45873579982826995,1705
-74700,0.015589235810902205,0.5196800260945449,1708
-73800,0.012296487528747731,0.6112553757423353,1711
-72900,0.007360726541851987,0.7607321818757007,1714
-72000,0.004362852790303283,0.8566411923374634,1717
-71100,0.001805996715566986,0.9403376397759878,1720
-70200,-0.0014493499736555559,0.9520620598343338,1723
-69300,-0.006768842691417145,0.778701104977133,1726
-68400,-0.015048502457926573,0.5317621373424836,1729
-67500,-0.026550760411752715,0.26943352920019165,1732
-66600,-0.03613333427368725,0.13245773868641547,1735
-65700,-0.04138237904195454,0.0845813482876985,1738
-64800,-0.04221942778291361,0.07821505222479962,1741
-63900,-0.04210725703845803,0.07875268616998776,1744
-63000,-0.04304280518145722,0.07208014719640395,1747
-62100,-0.051266855803952065,0.03199089970744764,1750
-61200,-0.05981056951588417,0.012257070515839196,1753
-60300,-0.07081319229761548,0.00298754114856154,1756
-59400,-0.08096038272030753,0.0006771188507889974,1759
-58500,-0.08634018216806526,0.0002851427014491599,1762
-57600,-0.08686027335121686,0.00025870307166788657,1765
-56700,-0.0874262147763771,0.00023276713373219924,1768
-55800,-0.08903342977416562,0.00017569346319768739,1771
-54900,-0.09419973728657983,7.078571980217058e-05,1774
-54000,-0.10480959749384264,9.54274132551036e-06,1777
-53100,-0.12119852282345987,2.917568986776173e-07,1780
-52200,-0.1343043723874532,1.2489013296038178e-08,1783
-51300,-0.13696470346258535,6.1866293482998795e-09,1786
-50400,-0.1318515399230686,2.1756083258247888e-08,1789
-49500,-0.1297887752835457,3.5132036473585496e-08,1792
-48600,-0.1351789735847441,8.945150845967937e-09,1795
-47700,-0.14019144769791206,2.374225002711165e-09,1798
-46800,-0.1433408383533305,9.933102805320551e-10,1801
-45900,-0.14637994100493018,4.1938392791238223e-10,1804
-45000,-0.15011095597969834,1.4269009953010812e-10,1807
-44100,-0.15087603294670612,1.1081228291104688e-10,1810
-43200,-0.15010812209847052,1.33155905660244e-10,1813
-42300,-0.14974437491943324,1.426030263780275e-10,1816
-41400,-0.15141217438780324,8.543579599209166e-11,1819
-40500,-0.1523688796958236,6.251706473709301e-11,1822
-39600,-0.15686437198437722,1.6012585567128286e-11,1825
-38700,-0.16281087824959659,2.505198827107523e-12,1828
-37800,-0.16387494718357537,1.7235734863029304e-12,1831
-36900,-0.16793936071727592,4.5332292912947535e-13,1834
-36000,-0.17033414356773452,1.9915599501581256e-13,1837
-35100,-0.17226395125717872,1.0071443670587994e-13,1840
-34200,-0.17343922356471422,6.498974806351689e-14,1843
-33300,-0.17591461682363158,2.6882910388411537e-14,1846
-32400,-0.17806903159316834,1.223993811295365e-14,1849
-31500,-0.1824864833877362,2.481978210941548e-15,1852
-30600,-0.1883533157682404,2.83431391639556e-16,1855
-29700,-0.19677640338064217,1.1280088037364776e-17,1858
-28800,-0.2014936054214719,1.6846230379070778e-18,1861
-27900,-0.203680817895738,6.621175829030945e-19,1864
-27000,-0.2019038107735294,1.2621236678652019e-18,1867
-26100,-0.19938185749915685,3.211435679916348e-18,1870
-25200,-0.19687067865446428,8.05548846504733e-18,1873
-24300,-0.19447423514408776,1.9143146451775174e-17,1876
-23400,-0.1895234739793438,1.1802405427090049e-16,1879
-22500,-0.1867778465220492,3.0990375173428746e-16,1882
-21600,-0.18570936479114986,4.352732732201844e-16,1885
-20700,-0.1824168161547868,1.3705844784926145e-15,1888
-19800,-0.1800923491177691,3.0013232361566912e-15,1891
-18900,-0.1727930764910051,3.6742993812885886e-14,1894
-18000,-0.16714612038311444,2.3575363974748906e-13,1897
-17100,-0.16532371683788455,4.1216943390954165e-13,1900
-16200,-0.1628686346150689,8.805788778818064e-13,1903
-15300,-0.1597447563587724,2.3058607651903477e-12,1906
-14400,-0.1594685642029255,2.420196914741496e-12,1909
-13500,-0.16084366192502436,1.4985130261596143e-12,1912
-12600,-0.1585304924446084,3.0145973251018246e-12,1915
-11700,-0.15822335360976844,3.196310783344736e-12,1918
-10800,-0.16037312008489152,1.5464213708762488e-12,1921
-9900,-0.16013498489173603,1.6045102687646248e-12,1924
-9000,-0.16119148226675484,1.0956615879912985e-12,1927
-8100,-0.16450081609546882,3.5493994204468065e-13,1930
-7200,-0.16356458929061213,4.641932788393659e-13,1933
-6300,-0.15864780179664698,2.2107484853108693e-12,1936
-5400,-0.15282608538228026,1.3331765415061798e-11,1939
-4500,-0.1479131654433549,5.749129267278845e-11,1942
-3600,-0.1462548214533923,9.118698222861871e-11,1945
-2700,-0.14923961821897508,3.598358430204312e-11,1948
-1800,-0.15199017359154543,1.49521863542335e-11,1951
-900,-0.15387799227206583,8.005621819835836e-12,1954
0,-0.15515249145097343,5.160943340879929e-12,1957
900,-0.15239668731004288,1.2716055313193663e-11,1954
1800,-0.1435164347489143,1.914245377732665e-10,1951
2700,-0.13588907828438684,1.725701587237857e-09,1948
3600,-0.13495542729062476,2.2959220377224137e-09,1945
4500,-0.138886590299973,7.929062682559979e-10,1942
5400,-0.1462869424259487,9.652003531126282e-11,1939
6300,-0.14796082873329805,6.0656729786435e-11,1936
7200,-0.14301506498454034,2.6805360993024347e-10,1933
8100,-0.13735788536777488,1.3679587016854246e-09,1930
9000,-0.1328483155806113,4.801686795004829e-09,1927
9900,-0.13030325406080825,9.676471773268353e-09,1924
10800,-0.1318701220542096,6.578195832347669e-09,1921
11700,-0.134693227390121,3.1796116627630028e-09,1918
12600,-0.1351259208118897,2.9100819542944253e-09,1915
13500,-0.13136958649972588,8.138308238440718e-09,1912
14400,-0.13004613147154429,1.180637714074152e-08,1909
15300,-0.12958470858036247,1.3658130267374161e-08,1906
16200,-0.12571392486790373,3.7485639464359856e-08,1903
17100,-0.12291560128050773,7.673910849052602e-08,1900
18000,-0.12525992952401796,4.409442350087635e-08,1897
18900,-0.12382129713099382,6.445713149557427e-08,1894
19800,-0.12567267414225725,4.179535788769731e-08,1891
20700,-0.12645037795282474,3.529405792739508e-08,1888
21600,-0.12345767098925609,7.567950604079415e-08,1885
22500,-0.12067692047721527,1.5133257700602642e-07,1882
23400,-0.12322075047258985,8.406473594457189e-08,1879
24300,-0.1263608664212927,3.9871161148097704e-08,1876
25200,-0.12910049025881057,2.0588570004024676e-08,1873
26100,-0.13135929028367258,1.1885712709527747e-08,1870
27000,-0.12978946123407947,1.8219405956218607e-08,1867
27900,-0.13086073565100773,1.4246504463877316e-08,1864
28800,-0.13755950361896976,2.544371419482598e-09,1861
29700,-0.1533215412506485,3.058598745680987e-11,1858
30600,-0.16651742347235385,5.296460950425337e-13,1855
31500,-0.17488517660867264,3.467218698956448e-14,1852
32400,-0.18118448348424998,4.136369667984242e-15,1849
33300,-0.1881681036156229,3.576301632710058e-16,1846
34200,-0.194019079085268,4.330067349406342e-17,1843
35100,-0.19809587261042477,9.76157131979158e-18,1840
36000,-0.2017041942708035,2.567725840217485e-18,1837
36900,-0.20199311795535008,2.443297200885941e-18,1834
37800,-0.2028841468358882,1.8373633704268176e-18,1831
38700,-0.20272546599229835,2.0838737257010063e-18,1828
39600,-0.19976244617116867,6.995380191076896e-18,1825
40500,-0.19890924619316003,1.0315506886347087e-17,1822
41400,-0.19048860094414602,2.5302160666451113e-16,1819
42300,-0.18286416533897193,4.0420160854277914e-15,1816
43200,-0.1801938162081949,1.0703893414433475e-14,1813
44100,-0.17454767566617166,7.527853350205687e-14,1810
45000,-0.17026549364098412,3.1919937924574793e-13,1807
45900,-0.16888629843674943,5.193197407248117e-13,1804
46800,-0.16336776743690282,3.055913387396257e-12,1801
47700,-0.16150700251379818,5.6239963366788465e-12,1798
48600,-0.16071233254515135,7.44770534174465e-12,1795
49500,-0.15822483890318925,1.6305814764059665e-11,1792
50400,-0.15794543001737046,1.8412125194720125e-11,1789
51300,-0.15956252136164323,1.1847366128803351e-11,1786
52200,-0.16215149830614028,5.667387948615146e-12,1783
53100,-0.16544573664610018,2.160446475016117e-12,1780
54000,-0.1670323622270102,1.3800106158628126e-12,1777
54900,-0.163389976142473,4.405339276198721e-12,1774
55800,-0.15954336311806797,1.4515976398298906e-11,1771
56700,-0.1516823244010778,1.4505223673152902e-10,1768
57600,-0.1443671926431745,1.1096190762218143e-09,1765
58500,-0.13379971372675703,1.7225406916446815e-08,1762
59400,-0.12022167305622591,4.26091752386528e-07,1759
60300,-0.11316823237934406,1.992549969562484e-06,1756
61200,-0.11092018611184797,3.2373226272460164e-06,1753
62100,-0.11439177919120785,1.6050728871134972e-06,1750
63000,-0.11936018102885221,5.637536759377196e-07,1747
63900,-0.11981400723866992,5.219089182582288e-07,1744
64800,-0.11305239717059065,2.257131606046818e-06,1741
65700,-0.10336154100247565,1.5777686533190796e-05,1738
66600,-0.0907134270056365,0.0001545785910691264,1735
67500,-0.08318108920781139,0.0005296796127414524,1732
68400,-0.077758652093373,0.0012127535342041603,1729
69300,-0.07157932094663322,0.0029257160956937785,1726
70200,-0.06941830938901992,0.00394065001593685,1723
71100,-0.07157688644443816,0.0029765258023064524,1720
72000,-0.07031605900728088,0.003555150966777552,1717
72900,-0.06704389413163155,0.005490552392091415,1714
73800,-0.060336923990069596,0.012551720710612802,1711
74700,-0.05196614947300558,0.0317508300587882,1708
75600,-0.04594986519784177,0.05783374077393212,1705
76500,-0.04181840096444021,0.08457834892759727,1702
77400,-0.045278806210891615,0.06205154570000155,1699
78300,-0.05015122794432589,0.03891062783642625,1696
79200,-0.05338957562913197,0.02804072841552341,1693
80100,-0.05317623250977296,0.028816820659834735,1690
81000,-0.04797321584799874,0.048828883522497896,1687
81900,-0.04114974548536124,0.09139097824485647,1684
82800,-0.03020703358903062,0.2157718411208704,1681
83700,-0.018830612913952823,0.44079025741126493,1678
84600,-0.009148192886915693,0.7083044344864295,1675
85500,-0.0029460935530905997,0.9041851290003324,1672
86400,0.004514251481611979,0.853789666383473,1669
