lag_seconds,r,p_value,n
-86400,-0.8408641826517109,0.0,8121
-85500,-0.8382704257988232,0.0,8124
-84600,-0.8342371621699747,0.0,8127
-83700,-0.8312139196340685,0.0,8130
-82800,-0.8294175017201317,0.0,8133
-81900,-0.82757035350938,0.0,8136
-81000,-0.8244134085695921,0.0,8139
-80100,-0.819826476413293,0.0,8142
-79200,-0.8144027803717239,0.0,8145
-78300,-0.8097793833945648,0.0,8148
-77400,-0.8077080229158149,0.0,8151
-76500,-0.8084999294870924,0.0,8154
-75600,-0.8089620454959151,0.0,8157
-74700,-0.8083904179191487,0.0,8160
-73800,-0.8083524959831219,0.0,8163
-72900,-0.8106176573230423,0.0,8166
-72000,-0.8133535619272166,0.0,8169
-71100,-0.8158105185815381,0.0,8172
-70200,-0.8191167933138828,0.0,8175
-69300,-0.822909299849125,0.0,8178
-68400,-0.8256279475530959,0.0,8181
-67500,-0.8269791216920468,0.0,8184
-66600,-0.8297638790071854,0.0,8187
-65700,-0.8332468623613093,0.0,8190
-64800,-0.8356609023510235,0.0,8193
-63900,-0.8367002506029217,0.0,8196
-63000,-0.8367169633336905,0.0,8199
-62100,-0.8357488682661053,0.0,8202
-61200,-0.8341991930318161,0.0,8205
-60300,-0.8339847868158969,0.0,8208
-59400,-0.835202030894404,0.0,8211
-58500,-0.8347790899068658,0.0,8214
-57600,-0.8325756548259473,0.0,8217
-56700,-0.8297632816482485,0.0,8220
-55800,-0.8275532936594602,0.0,8223
-54900,-0.8263966242957022,0.0,8226
-54000,-0.8259537797253513,0.0,8229
-53100,-0.8261212120011986,0.0,8232
-52200,-0.826018451493911,0.0,8235
-51300,-0.8245285365833518,0.0,8238
-50400,-0.8229379656894575,0.0,8241
-49500,-0.8222441778387045,0.0,8244
-48600,-0.8217173480425387,0.0,8247
-47700,-0.8204404787939384,0.0,8250
-46800,-0.8182701151859098,0.0,8253
-45900,-0.8156523823614377,0.0,8256
-45000,-0.812705419296054,0.0,8259
-44100,-0.8100370833864895,0.0,8262
-43200,-0.8083588284514619,0.0,8265
-42300,-0.8068641664451852,0.0,8268
-41400,-0.8047959485441325,0.0,8271
-40500,-0.8019180786501909,0.0,8274
-39600,-0.7985549070865573,0.0,8277
-38700,-0.795566748856486,0.0,8280
-37800,-0.7930475278087089,0.0,8283
-36900,-0.7899759967643695,0.0,8286
-36000,-0.7858229560230461,0.0,8289
-35100,-0.7814604869855936,0.0,8292
