lag_seconds,r,p_value,n
-86400,,,0
-85500,,,0
-84600,,,3
-83700,,,6
-82800,,,9
-81900,,,12
-81000,,,15
-80100,,,18
-79200,,,21
-78300,,,24
-77400,,,27
-76500,,,30
-75600,,,33
-74700,,,36
-73800,,,39
-72900,,,42
-72000,,,45
-71100,,,48
-70200,-0.044333653686815994,0.7573911243700897,51
-69300,0.2915214739602589,0.03245132140519246,54
-68400,0.5037536325970855,6.47844369011765e-05,57
-67500,0.3843629618930383,0.0024291243976104267,60
-66600,0.31069465727455314,0.013199180692854052,63
-65700,0.20480152594028447,0.09903265468954905,66
-64800,0.0866008554748285,0.47922489682195013,69
-63900,0.03070311259077378,0.7979312762391362,72
-63000,0.0029213687578763976,0.9801547419364047,75
-62100,-0.09615113782582073,0.4023585809376625,78
-61200,-0.20553859067595667,0.06565047669164321,81
-60300,-0.17330198590431253,0.11491208044257378,84
-59400,0.02085945524095551,0.8479217669986234,87
-58500,0.05255661050325329,0.6227430876554825,90
-57600,-0.04393319702995245,0.6758386937484147,93
-56700,-0.15485542819063794,0.13194014050407443,96
-55800,-0.24382451683964923,0.015014150839546433,99
-54900,-0.284658524433791,0.003734944369707502,102
-54000,-0.32657645653145,0.0006736615550925493,105
-53100,-0.3418233563201872,0.000293812790075499,108
-52200,-0.3412170704545762,0.0002474585254436189,111
-51300,-0.3495937626537466,0.00013755183855626227,114
-50400,-0.26875197536243917,0.0033908291256137305,117
-49500,-0.20201541518414579,0.026920360182675667,120
-48600,-0.19994372877193275,0.026603862719412855,123
-47700,-0.2644366304300854,0.002770076948773187,126
-46800,-0.32993693628044063,0.00013433022504411572,129
-45900,-0.3574235349217619,2.584768871727381e-05,132
-45000,-0.4118128408643405,6.964895318019979e-07,135
-44100,-0.3368611113113792,5.3462357624962824e-05,138
-43200,-0.23819971184520558,0.004450260494863948,141
-42300,-0.23592883861634437,0.004416490255689561,144
-41400,-0.2076471777756601,0.011613841824509415,147
-40500,-0.1450807986864362,0.07649592709463701,150
-39600,-0.1001415671969175,0.21808990595821406,153
-38700,-0.1065712495631149,0.18545537778482638,156
