lag_seconds,r,p_value,n
-36000,-0.18231585701133662,1.575625637433846e-15,1882
-34200,-0.17054041830526592,8.65380318763325e-14,1888
-32400,-0.16054883861158223,2.093246000319528e-12,1894
-30600,-0.15166778178781445,3.028655612344352e-11,1900
-28800,-0.15225637661815872,2.3602036492981053e-11,1906
-27000,-0.15269925837378293,1.9194430858344282e-11,1912
-25200,-0.1470193381748314,9.8200509140153e-11,1918
-23400,-0.13886473620556644,9.5484234079142e-10,1924
-21600,-0.13926485208640518,8.039302155704342e-10,1930
-19800,-0.14354137017560673,2.2297142280416536e-10,1936
-18000,-0.1472068310154065,7.101682804459916e-11,1942
-16200,-0.14654274076839888,8.096648449047349e-11,1948
-14400,-0.13894232721959232,6.923589665624434e-10,1954
-12600,-0.1329216735045958,3.4803809740899705e-09,1960
-10800,-0.13100768466734253,5.533527555470029e-09,1966
-9000,-0.13423217213304783,2.174604247579359e-09,1972
-7200,-0.1319249777188737,3.8766174280512945e-09,1978
-5400,-0.12409541459327239,2.9322301027496155e-08,1984
-3600,-0.1126909031496423,4.655851732678215e-07,1990
-1800,-0.09845979993239624,1.0490600286221514e-05,1996
0,-0.08552510160893838,0.00012744611438073194,2002
1800,-0.078044297779849,0.0004832108259223353,1996
3600,-0.07200274284312022,0.0013082925965478913,1990
5400,-0.06561941803436662,0.0034541214761063255,1984
7200,-0.05826843124456697,0.009540980513234293,1978
9000,-0.05123810348679574,0.022882366245460844,1972
10800,-0.043839365181932335,0.05195360700312342,1966
12600,-0.03455328006463439,0.12620999906673563,1960
14400,-0.027521004487429838,0.2239878499563798,1954
16200,-0.022379425554006994,0.32352922202532347,1948
18000,-0.023127176541204164,0.3083684749311268,1942
19800,-0.02688412360591207,0.23706639756448344,1936
21600,-0.029092462264659686,0.2014167496646263,1930
23400,-0.03015013631961634,0.18619170311497565,1924
25200,-0.027165961915858086,0.23437021008448342,1918
27000,-0.02458744511066971,0.28256264856044877,1912
28800,-0.024215478982879762,0.2906690868933452,1906
30600,-0.02262469177149434,0.3242977234952378,1900
32400,-0.02124564309965818,0.35543080733433075,1894
34200,-0.020372734606593345,0.3763056529837431,1888
36000,-0.017717498124775997,0.4423858639514059,1882
