lag_seconds,r,p_value,n
-86400,0.2073417710943159,1.5228104679202207e-80,8223
-85500,0.20695376819934605,2.8489656977677348e-80,8226
-84600,0.2065644093024119,5.338078103307441e-80,8229
-83700,0.206174842156541,9.996490733210989e-80,8232
-82800,0.2057862099665754,1.867210206423887e-79,8235
-81900,0.20539965142070674,3.4717569197167035e-79,8238
-81000,0.20501630072125562,6.412872172504532e-79,8241
-80100,0.20463728129445666,1.174501851958827e-78,8244
-79200,0.20426370206245992,2.1287267486438015e-78,8247
-78300,0.20389666799049164,3.810892146375024e-78,8250
-77400,0.20353728134634108,6.725991577755258e-78,8253
-76500,0.2031866402109904,1.1681511775721463e-77,8256
-75600,0.2028466319153834,1.9899802901315774e-77,8259
-74700,0.2025187440687466,3.3167305486695966e-77,8262
-73800,0.20220406380101538,5.398790621575943e-77,8265
-72900,0.20190367421989255,8.566950578410116e-77,8268
-72000,0.20161860636497572,1.3229983147776129e-76,8271
-71100,0.2013491188767302,1.987651584998378e-76,8274
-70200,0.20109498968458028,2.9065306094955124e-76,8277
-69300,0.20085599450572303,4.138729982777439e-76,8280
-68400,0.20063189454825794,5.741538171800778e-76,8283
-67500,0.2004224199187494,7.764079031349608e-76,8286
-66600,0.200227164613248,1.0241957696342215e-75,8289
-65700,0.2000454321320905,1.3196337518271677e-75,8292
-64800,0.19987527226199236,1.6664279504208327e-75,8295
-63900,0.19971414151148367,2.071612336780934e-75,8298
-63000,0.19955950646431955,2.54643591150403e-75,8301
-62100,0.1994088508112104,3.1085346236615153e-75,8304
-61200,0.19925967239509013,3.7849435879765876e-75,8307
-60300,0.19910953215392943,4.616099284288605e-75,8310
-59400,0.19895626569184005,5.660110308111362e-75,8313
-58500,0.19879777864059525,7.002853625176354e-75,8316
-57600,0.19863198430800189,8.773701017631083e-75,8319
-56700,0.1984568036068202,1.1171097770003653e-74,8322
-55800,0.19827016498545016,1.4506126629680327e-74,8325
-54900,0.19807000436026534,1.92786196768598e-74,8328
-54000,0.19785429217769265,2.6312566201503526e-74,8331
-53100,0.19762145731376513,3.697918989244545e-74,8334
-52200,0.19737027801575868,5.362094519460234e-74,8337
-51300,0.19710002434574578,8.03149624155659e-74,8340
-50400,0.1968117399391225,1.2402788410440112e-73,8343
-49500,0.1965065750210016,1.9706044870618204e-73,8346
-48600,0.19618567546272087,3.214676412353468e-73,8349
-47700,0.19585018283909805,5.3732599999168376e-73,8352
-46800,0.1955012338290322,9.183584605827036e-73,8355
-45900,0.19513996564171815,1.6016729985516385e-72,8358
-45000,0.19476757689455,2.8444243613781393e-72,8361
-44100,0.19438527704859251,5.132652448785531e-72,8364
-43200,0.1939942712451156,9.390578772804913e-72,8367
-42300,0.19359576035933632,1.7383229926725269e-71,8370
-41400,0.19319094105296783,3.2489990715349093e-71,8373
-40500,0.19278100582559068,6.118601482910938e-71,8376
-39600,0.19237156284196574,1.150079854650616e-70,8379
-38700,0.19197265153610255,2.121650345294285e-70,8382
-37800,0.19158548025323413,3.8340209721145355e-70,8385
-36900,0.1912112533719226,6.773958795452754e-70,8388
-36000,0.19085116485273207,1.167944669019928e-69,8391
-35100,0.19050630199749005,1.9618168240664668e-69,8394
-34200,0.19017768430956977,3.205288751018219e-69,8397
-33300,0.18986637714318919,5.085489207330147e-69,8400
-32400,0.18957424730815542,7.81202357480427e-69,8403
-31500,0.18930366651770192,1.1574647086401174e-68,8406
-30600,0.18905603916867497,1.6504827551173562e-68,8409
-29700,0.18883253215540144,2.2609313188658105e-68,8412
-28800,0.18863432100544492,2.9698948579326143e-68,8415
-27900,0.18846256918469276,3.734049041095567e-68,8418
-27000,0.18831838700234826,4.4858424916217715e-68,8421
-26100,0.18820286998286231,5.140152518110033e-68,8424
-25200,0.18811710900478273,5.608070418464748e-68,8427
-24300,0.18806219019858936,5.815501793365825e-68,8430
-23400,0.18803910970313178,5.722437341868192e-68,8433
-22500,0.18804872290463356,5.335399698768477e-68,8436
-21600,0.18809188546584557,4.706552228104997e-68,8439
-20700,0.18816946950717348,3.922111873142555e-68,8442
-19800,0.18828234386183929,3.08273031254535e-68,8445
-18900,0.18843064932622736,2.2844030633604956e-68,8448
-18000,0.18861336833103248,1.5983534277135966e-68,8451
-17100,0.18882940835480472,1.057597086541403e-68,8454
-16200,0.18907760102419974,6.628957120739456e-69,8457
-15300,0.18935673180009352,3.9427940783336524e-69,8460
-14400,0.1896655890361004,2.2291830684284448e-69,8463
-13500,0.19000296398816952,1.2000873459400393e-69,8466
-12600,0.19036760144028458,6.162819467416981e-70,8469
-11700,0.1907583021104936,3.023971836186082e-70,8472
-10800,0.19117434801251046,1.4190166635719505e-70,8475
-9900,0.19162214576354492,6.2972757701143956e-71,8478
-9000,0.19211161727029333,2.5975412477698132e-71,8481
-8100,0.19263818025362967,1.0030413761545886e-71,8484
-7200,0.1931882391215034,3.7088134446203445e-72,8487
-6300,0.19375024274417704,1.3388402314753418e-72,8490
-5400,0.19432243423866719,4.731707403849334e-73,8493
-4500,0.19490490187021756,1.6366422670542674e-73,8496
-3600,0.19549722568360053,5.543290988277575e-74,8499
-2700,0.19609327666366938,1.857824021940024e-74,8502
-1800,0.19668411407624486,6.257577317045844e-75,8505
-900,0.19727191931445673,2.110345851907447e-75,8508
0,0.19786353438265034,7.041211213204631e-76,8511
900,0.1989578596511972,1.0874331048839e-76,8508
1800,0.20006115270799887,1.6362693351382279e-77,8505
