lag_seconds,r,p_value,n
-86400,-0.041813804489354296,0.033448397028910525,2587
-85500,-0.04190228449409377,0.032973981405522976,2590
-84600,-0.04005715451978588,0.04138960551772428,2593
-83700,-0.038985960661554075,0.047014408059987384,2596
-82800,-0.03860010251343649,0.04911006873396481,2599
-81900,-0.0408301460977264,0.037287209440180484,2602
-81000,-0.04213232555704845,0.03152967991374347,2605
-80100,-0.041702758095021594,0.03320414497597766,2608
-79200,-0.04347712490573491,0.02631181162430211,2611
-78300,-0.04715193650930438,0.015911520461835613,2614
-77400,-0.05129349572790505,0.00867824057590166,2617
-76500,-0.05027097874336986,0.010065634037529058,2620
-75600,-0.04981940011709659,0.01071432406357582,2623
-74700,-0.04565721305325589,0.019294699464448645,2626
-73800,-0.045190424560658485,0.020494719096185145,2629
-72900,-0.04521814549179524,0.020345631978391916,2632
-72000,-0.04361512491028159,0.02516466278388361,2635
-71100,-0.039205816177875316,0.04406333162161318,2638
-70200,-0.03387550600087257,0.08176073239719164,2641
-69300,-0.03097668306580322,0.11128474407118615,2644
-68400,-0.03012512890489499,0.1212549756839894,2647
-67500,-0.02654336538410017,0.1719391659958141,2650
-66600,-0.019867982386271466,0.3063246552321774,2653
-65700,-0.014545012612650841,0.4536858773439717,2656
-64800,-0.01600873914784472,0.40927892157510043,2659
-63900,-0.016628959777564966,0.3911020974575805,2662
-63000,-0.017685692664283856,0.3614304150338434,2665
-62100,-0.020620387770018383,0.28700605436382387,2668
-61200,-0.02068280850814746,0.28527833994821794,2671
-60300,-0.02145791472794706,0.26733812917557087,2674
-59400,-0.02275698132068035,0.23917848333417263,2677
-58500,-0.020623073921458925,0.2858609946728843,2680
-57600,-0.0186725333197311,0.333630252114769,2683
-56700,-0.01955497769823804,0.3110153625734599,2686
-55800,-0.020861669712605727,0.2795154700864585,2689
-54900,-0.0247166129231596,0.19983948070156266,2692
-54000,-0.02302870231382353,0.2320472390203708,2695
-53100,-0.023298140013517876,0.22637030280091458,2698
-52200,-0.01904249989217064,0.3225202330942425,2701
-51300,-0.014422322560527551,0.453463724271315,2704
-50400,-0.010641198206720544,0.5799832843790546,2707
-49500,-0.00915430911930737,0.6338307221278028,2710
-48600,-0.010015651148353387,0.6020515559008952,2713
-47700,-0.007428903905455612,0.6987663112898089,2716
-46800,-0.005932286628750544,0.7571740940559621,2719
-45900,-0.0029986434049415743,0.8757365870655529,2722
-45000,0.0012442100044434364,0.9482377805261554,2725
-44100,0.00017781218646481588,0.9925934075743402,2728
-43200,0.0030046652972126925,0.8752848963792222,2731
-42300,0.005882410488784927,0.7585088526992272,2734
-41400,0.006624994676615994,0.7290113270990355,2737
-40500,0.010212257225757842,0.5931127475693129,2740
-39600,0.009709145799293334,0.6112544137527701,2743
-38700,0.006295608111809407,0.7415833211324675,2746
-37800,0.0036135228408520747,0.8497991284416193,2749
-36900,-0.0006364551324264783,0.9733771739929746,2752
-36000,-0.006826747548945878,0.7202201919647981,2755
-35100,-0.011666275473629618,0.5402619166283885,2758
-34200,-0.011939745292433914,0.5305839968160262,2761
-33300,-0.01281008646981887,0.5008217376122188,2764
-32400,-0.019033230929353807,0.31690917908899585,2767
-31500,-0.024720816606530544,0.19336540694880097,2770
-30600,-0.028498453651584914,0.13352733675952735,2773
-29700,-0.025496140726763816,0.1792888730280208,2776
-28800,-0.02419720741368934,0.20223911240335837,2779
-27900,-0.024228544400776996,0.20141175934509264,2782
-27000,-0.026563991146932607,0.16106995571322655,2785
-26100,-0.028252255865899162,0.13585896738507675,2788
-25200,-0.03063626309545648,0.10562683233130192,2791
-24300,-0.03385275035276064,0.07359695312480864,2794
-23400,-0.03873370446315054,0.04052574999973398,2797
-22500,-0.03840136968394311,0.042168684607464306,2800
-21600,-0.03785857853409325,0.04505024611361639,2803
-20700,-0.035045349559700845,0.06343155330522939,2806
-19800,-0.03198511559478738,0.09009624496209882,2809
-18900,-0.03439373047095664,0.06821718909974116,2812
-18000,-0.029818935127701295,0.1137090364947612,2815
-17100,-0.029518893021756466,0.11719610392529221,2818
-16200,-0.03242180718426229,0.08512176111603939,2821
-15300,-0.033589111425877095,0.07431273920454305,2824
-14400,-0.033661027945848694,0.07354125782013983,2827
-13500,-0.02779004625860265,0.13940775523780766,2830
-12600,-0.0254353224059504,0.17591502077992255,2833
-11700,-0.024471678671574917,0.19263007956659361,2836
-10800,-0.02520512425792383,0.17939893212652475,2839
-9900,-0.027275669013790808,0.14602730413116677,2842
-9000,-0.02861640934797293,0.12701004842106717,2845
-8100,-0.029425979826325242,0.11641121893469458,2848
-7200,-0.028672116754108485,0.12587224457029705,2851
-6300,-0.029397822331585267,0.11637636899390229,2854
-5400,-0.02906263845972046,0.12040574950402735,2857
-4500,-0.02856826269556726,0.12665037898537032,2860
-3600,-0.031244146370313686,0.09463108821164493,2863
-2700,-0.029768702718018413,0.1110869809022698,2866
-1800,-0.0288659668397854,0.1221534925852192,2869
-900,-0.027304693977700616,0.1434885072645539,2872
