lag_seconds,r,p_value,n
-86400,-0.018752781175701252,0.4364868459301403,1724
-85500,-0.02269982446739883,0.34579376880564544,1727
-84600,-0.02548509077788286,0.2894112163659952,1730
-83700,-0.022880085654740468,0.3411377128552909,1733
-82800,-0.02130362069812657,0.3750337939253529,1736
-81900,-0.023146793035740434,0.334701617500669,1739
-81000,-0.025232842898307233,0.2925419226256627,1742
-80100,-0.026727097528926096,0.26447538256442915,1745
-79200,-0.030950772485567903,0.1958700463054004,1748
-78300,-0.038287804347202706,0.1092453163943537,1751
-77400,-0.04741168290502566,0.047106728854780136,1754
-76500,-0.054258715400934535,0.022942134488145204,1757
-75600,-0.05816484968414279,0.01466755503877136,1760
-74700,-0.05880396888986477,0.013532001904900746,1763
-73800,-0.0577843959085795,0.015155986676244574,1766
-72900,-0.05956088067940382,0.012225987415458307,1769
-72000,-0.06557278843076876,0.005756834077185015,1772
-71100,-0.07126137569088054,0.0026645558374681563,1775
-70200,-0.07445699036436855,0.0016795157618607263,1778
-69300,-0.0770691493654923,0.0011338327582387131,1781
-68400,-0.08261983956408274,0.000477310652110364,1784
-67500,-0.09369144500508655,7.291515913543895e-05,1787
-66600,-0.10448291501741737,9.443236607070251e-06,1790
-65700,-0.11242997545830881,1.8192209953208935e-06,1793
-64800,-0.11754409212635347,5.874848048912997e-07,1796
-63900,-0.1203003119705278,3.095453891612846e-07,1799
-63000,-0.12252753659201432,1.8150057172670153e-07,1802
-62100,-0.1281808762023658,4.6399055053558e-08,1805
-61200,-0.13441314220282416,9.612626169407279e-09,1808
-60300,-0.14046926443426339,1.9316938519342977e-09,1811
-59400,-0.14619765027259207,3.9481271239695345e-10,1814
-58500,-0.14869711937897537,1.8966559630836295e-10,1817
-57600,-0.1500100297817308,1.2620544665412723e-10,1820
-56700,-0.15440359997474795,3.407960729775928e-11,1823
-55800,-0.15789180864148092,1.1611126301903666e-11,1826
-54900,-0.16114126848641896,4.1453571061065e-12,1829
-54000,-0.16662448168959818,7.115366405306154e-13,1832
-53100,-0.1729702275320321,8.602419952981622e-14,1835
-52200,-0.17601469551480295,2.953037821106144e-14,1838
-51300,-0.17454976424585392,4.6186472171137284e-14,1841
-50400,-0.17328416082434242,6.739770067188387e-14,1844
-49500,-0.17451847553132768,4.24722850357599e-14,1847
-48600,-0.17223618201985474,8.720926602356799e-14,1850
-47700,-0.17466413100344283,3.678652975476081e-14,1853
-46800,-0.1759624647895889,2.2540825033559775e-14,1856
-45900,-0.17594762291018762,2.159480623173813e-14,1859
-45000,-0.17661779876571704,1.6346794283820505e-14,1862
-44100,-0.17624035216012462,1.7740209975014818e-14,1865
-43200,-0.17574876154326596,2.0025969887526642e-14,1868
-42300,-0.1781437529079597,8.31804078982129e-15,1871
-41400,-0.18275308724197153,1.5450585652132395e-15,1874
-40500,-0.1872087448341508,2.893212767463388e-16,1877
-39600,-0.19262881561549083,3.587274540361658e-17,1880
-38700,-0.19571202415704472,1.0348137087517469e-17,1883
-37800,-0.20025823718754932,1.6325105090326656e-18,1886
-36900,-0.2039491674399899,3.47348617463511e-19,1889
-36000,-0.20517018693111372,1.9781150529932252e-19,1892
-35100,-0.20119852110346043,9.2937133620569e-19,1895
-34200,-0.19331715800395322,1.9491217591601012e-17,1898
-33300,-0.18511718591316312,4.075319983156428e-16,1901
-32400,-0.17746293286499779,6.167471958085833e-15,1904
-31500,-0.17322549793993736,2.5900660278275064e-14,1907
-30600,-0.1714975092498162,4.48436515577861e-14,1910
-29700,-0.1720154785446719,3.585728068948438e-14,1913
-28800,-0.17245688041450222,2.940876570897798e-14,1916
-27900,-0.17311367814296372,2.236107001226963e-14,1919
-27000,-0.16806177923529794,1.207604923474101e-13,1922
-26100,-0.1587437043087551,2.473602748135884e-12,1925
-25200,-0.15061416691662666,2.9917132388647596e-11,1928
-24300,-0.14532194609210047,1.4003552588762835e-10,1931
-23400,-0.1421363547206774,3.4157197335543006e-10,1934
-22500,-0.1394419941737659,7.128803699381717e-10,1937
-21600,-0.1356698045697182,1.9787505972908088e-09,1940
-20700,-0.13081412437946724,7.14877138266261e-09,1943
-19800,-0.1264890723754813,2.1585309441511295e-08,1946
-18900,-0.12277330779396248,5.411348650192101e-08,1949
-18000,-0.12070471092489293,8.841216355509822e-08,1952
-17100,-0.12330939879722823,4.511276045929398e-08,1955
-16200,-0.122197393747331,5.8269000451226915e-08,1958
-15300,-0.11941896451453425,1.1337361165255398e-07,1961
-14400,-0.12023347616635444,9.071848686117699e-08,1964
-13500,-0.12256084631685764,4.9584652523869104e-08,1967
-12600,-0.12589410007295143,2.0640827848935738e-08,1970
-11700,-0.12240466577230798,4.922091492238486e-08,1973
-10800,-0.11316260273252544,4.574431737029133e-07,1976
-9900,-0.10696364955036149,1.8508679818049633e-06,1979
-9000,-0.10692585494905453,1.8332934951965827e-06,1982
-8100,-0.11378080247460258,3.7223509031800124e-07,1985
-7200,-0.1164759493061577,1.9111308751093297e-07,1988
-6300,-0.11571387980475228,2.250203616659398e-07,1991
-5400,-0.11343376928197671,3.803862443238131e-07,1994
-4500,-0.11222327307823324,4.962396975845597e-07,1997
-3600,-0.11280327298960585,4.2431663276076427e-07,2000
-2700,-0.1153205500233314,2.2765419115013036e-07,2003
-1800,-0.11791408826144362,1.1812325566788284e-07,2006
-900,-0.11998077693139106,6.8940548803237e-08,2009
0,-0.1228095303127954,3.273012365522627e-08,2012
900,-0.12195654548872917,4.172341401714183e-08,2009
1800,-0.11892167078656275,9.194864338556989e-08,2006
2700,-0.1193489083295308,8.448844794357113e-08,2003
