lag_seconds,r,p_value,n
-86400,0.18464650872164085,7.836898292184648e-13,1482
-85500,0.19296824093569184,6.357224748161595e-14,1485
-84600,0.1950730065511699,3.1601811335936304e-14,1488
-83700,0.19244837881408855,6.628157950161027e-14,1491
-82800,0.18532973275791034,5.196570596975942e-13,1494
-81900,0.1736055480840168,1.3535943467018592e-11,1497
-81000,0.1598047474904957,4.843560749585939e-10,1500
-80100,0.1503399369955463,4.715055440091921e-09,1503
-79200,0.14558648679726577,1.38382943140982e-08,1506
-78300,0.14659513538436403,1.0600776141677508e-08,1509
-77400,0.151202785872855,3.450806762920886e-09,1512
-76500,0.15822172199510492,5.924534969340399e-10,1515
-75600,0.1615113452417941,2.465316105000111e-10,1518
-74700,0.15546903477118304,1.091607043182642e-09,1521
-73800,0.14783542454766385,6.6943841792581544e-09,1524
-72900,0.1397791108386815,4.144070432745415e-08,1527
-72000,0.12993612314767342,3.3972577804203223e-07,1530
-71100,0.11748092521178903,3.987718763107382e-06,1533
-70200,0.1040652003198552,4.383356055122341e-05,1536
-69300,0.09015757494852893,0.00039826672296756227,1539
-68400,0.07678867782510497,0.0025497664152917083,1542
-67500,0.06505093727953794,0.010540829205284239,1545
-66600,0.05629939965665934,0.026756857775971112,1548
-65700,0.05477335463859055,0.031005288708166243,1551
-64800,0.05419218705354961,0.032667149171537985,1554
-63900,0.0539164859963178,0.033393442004084894,1557
-63000,0.052876542213150086,0.03677592612194134,1560
-62100,0.05089416194508682,0.04424268033407163,1563
-61200,0.03944941570952009,0.11864614537234089,1566
-60300,0.03537174370998408,0.16138826288682606,1569
-59400,0.03900586207425331,0.12213348534076804,1572
-58500,0.043001042269750454,0.08801084326971191,1575
-57600,0.050191723009907804,0.04620727538292929,1578
-56700,0.061441740944758065,0.014549195079014681,1581
-55800,0.07055474298238569,0.00496450340280436,1584
-54900,0.07672445661202391,0.00222384246571106,1587
-54000,0.07937635928815238,0.0015368881498267458,1590
-53100,0.07772593139182433,0.001906067411735149,1593
-52200,0.07363140755787982,0.003247717998737359,1596
-51300,0.06828537694904702,0.006302477226483606,1599
-50400,0.05933584309983501,0.01754154701163125,1602
-49500,0.05006836333178538,0.04490358735157293,1605
-48600,0.043592963814892735,0.0805430579163766,1608
-47700,0.04204796667465324,0.09157902410928642,1611
-46800,0.05176948729383012,0.03756199653889502,1614
-45900,0.06473265772178202,0.00922116547302088,1617
-45000,0.07403544962732814,0.00286688476059695,1620
-44100,0.0809005349375222,0.0011061580738445855,1623
-43200,0.08516281573907152,0.0005867102511884387,1626
-42300,0.08832031592035351,0.0003584493289100181,1629
-41400,0.09013720674202283,0.0002663557141259717,1632
-40500,0.09157578391579202,0.00020903450783046402,1635
-39600,0.09204268082400469,0.00019129159477962386,1638
-38700,0.09191581964491394,0.00019262337880356423,1641
-37800,0.09680246847102215,8.451271640816758e-05,1644
-36900,0.10536750075488005,1.828698424315112e-05,1647
-36000,0.10845845331627404,1.008725731318472e-05,1650
-35100,0.11675666996476472,1.938963542864382e-06,1653
-34200,0.1286171323376571,1.5060598812395806e-07,1656
-33300,0.14004179135685837,1.016420475698816e-08,1659
-32400,0.15139453590027288,5.534745400921918e-10,1662
-31500,0.16162302203532714,3.275139106531937e-11,1665
-30600,0.16325812582667756,1.977127743709834e-11,1668
-29700,0.16289264586418928,2.1055998503140133e-11,1671
-28800,0.16108376058868187,3.377837269193397e-11,1674
-27900,0.1560671004497893,1.311951998202483e-10,1677
-27000,0.1512167189363874,4.685819670680359e-10,1680
-26100,0.15030995896418228,5.75386845314452e-10,1683
-25200,0.1531419399645432,2.602040732738461e-10,1686
-24300,0.15964667884395084,4.151234102495832e-11,1689
-23400,0.16973142158230595,2.1010263097312798e-12,1692
-22500,0.1775391696137337,1.8046375919346066e-13,1695
