lag_seconds,r,p_value,n
-86400,-0.011042060807408879,0.48649765718012156,3974
-85500,-0.014199987825263834,0.37064598164630586,3977
-84600,-0.015739423416770825,0.32085306282872716,3980
-83700,-0.015666772963595123,0.3229096789722526,3983
-82800,-0.015903281801619866,0.3154756495258977,3986
-81900,-0.01750495432093471,0.2690186243859713,3989
-81000,-0.019755584726786478,0.21205534406424778,3992
-80100,-0.020524618774787572,0.19462776092017536,3995
-79200,-0.021443611714540414,0.17522460411522642,3998
-78300,-0.021019905006167555,0.18374469624974288,4001
-77400,-0.01998674874959906,0.20607348106620188,4004
-76500,-0.017912987264821042,0.25694356023147435,4007
-75600,-0.015552444396168805,0.3248185198909529,4010
-74700,-0.0137379751586953,0.38427497347368533,4013
-73800,-0.01221400017494524,0.43904166377804316,4016
-72900,-0.011728394773472364,0.45728632800430036,4019
-72000,-0.012564580725141933,0.42567180594620935,4022
-71100,-0.01361620981515739,0.3877948123649278,4025
-70200,-0.013608431847945668,0.38788909942258876,4028
-69300,-0.014267190092580555,0.36515222136076636,4031
-68400,-0.015953739482241814,0.31104453843890584,4034
-67500,-0.01899324141399675,0.22761855265929254,4037
-66600,-0.021873770308478285,0.16451228132815673,4040
-65700,-0.023163850971295637,0.14085728345121268,4043
-64800,-0.023813853163005976,0.12989844896379754,4046
-63900,-0.023817453543664432,0.1296981404552106,4049
-63000,-0.023037882583762433,0.142586740372263,4052
-62100,-0.02419359906343777,0.12346974983907097,4055
-61200,-0.02538477520872994,0.1059140563568686,4058
-60300,-0.027216583166813454,0.08288426851657159,4061
-59400,-0.029516835843910717,0.059901911005598,4064
-58500,-0.02995608104120963,0.05610339671524308,4067
-57600,-0.028365944236853628,0.07037993600951778,4070
-56700,-0.024708623155849554,0.11487320935996326,4073
-55800,-0.020498267473887447,0.19073143085369865,4076
-54900,-0.018339156900579162,0.24159583150806668,4079
-54000,-0.01853745280031176,0.23637082161258952,4082
-53100,-0.021644357114202577,0.16662924266690754,4085
-52200,-0.02553589536703141,0.10258105941658122,4088
-51300,-0.026790765828385004,0.08664889781618994,4091
-50400,-0.02560524553533156,0.10140003360484187,4094
-49500,-0.025925757802956917,0.09707075776502824,4097
-48600,-0.026311450456758163,0.09207875440185609,4100
-47700,-0.026456401142458473,0.09018244456842388,4103
-46800,-0.025967646328337927,0.09616624847736169,4106
-45900,-0.024374215374988885,0.1182455846527097,4109
-45000,-0.022979371365162846,0.1406712623525753,4112
-44100,-0.020750136442708296,0.18324688136799183,4115
-43200,-0.017596488728570094,0.2589230547497952,4118
-42300,-0.013872130609574465,0.37330787150013095,4121
-41400,-0.01184185518061988,0.4470986797993683,4124
-40500,-0.009695325427207758,0.5335011079009726,4127
-39600,-0.008946415334298224,0.5654404156839029,4130
-38700,-0.00883306214290152,0.5702367579294038,4133
-37800,-0.006744152587106127,0.6645774662027738,4136
-36900,-0.004989364172060671,0.7482891384972754,4139
-36000,-0.003025070844147759,0.8456823678979651,4142
-35100,-0.000874213390251148,0.9551296195872956,4145
-34200,0.0018965205095366447,0.9028129790813538,4148
-33300,0.003679577446174788,0.8126582207637563,4151
