lag_seconds,r,p_value,n
-86400,,,0
-85500,,,3
-84600,,,6
-83700,,,9
-82800,,,12
-81900,,,15
-81000,,,18
-80100,,,21
-79200,,,24
-78300,,,27
-77400,,,30
-76500,,,33
-75600,,,36
-74700,,,39
-73800,,,42
-72900,,,45
-72000,,,48
-71100,-0.133408923044514,0.3506692667046346,51
-70200,0.09375856535208862,0.5000898712394245,54
-69300,0.16474519035379906,0.220714152516235,57
-68400,-0.07605636945945522,0.5635512530436381,60
-67500,-0.19965486433848684,0.11669023737858424,63
-66600,0.029989618083939098,0.8110780822177341,66
-65700,0.10937845776971378,0.3709712573850627,69
-64800,0.2191901569359441,0.06432728278362043,72
-63900,0.32497019375671077,0.004445309450727695,75
-63000,0.18665819571839554,0.10177243678122219,78
-62100,0.07082445053527303,0.5298057975032144,81
-61200,-0.1494112607191816,0.17494455684653296,84
-60300,-0.377312083463052,0.00031510840321111064,87
-59400,-0.386680761232508,0.00016678699011890886,90
-58500,-0.2519901746150124,0.01482203722789653,93
-57600,-0.06321710918992965,0.5406056882787503,96
-56700,0.08224366515084695,0.41834625423710103,99
-55800,0.14173541196655579,0.15531673364437246,102
-54900,0.05867124175756189,0.5521662797178484,105
-54000,0.033368926764941007,0.7317185542871288,108
-53100,0.04881673718614603,0.6108940488987126,111
-52200,0.07859411906750903,0.4058638641204379,114
-51300,0.08866321933547813,0.3417991899053239,117
-50400,0.019737789737243105,0.830567045576289,120
-49500,-0.06743430712505132,0.4586385149482316,123
-48600,-0.030354619512583496,0.7358065308901498,126
-47700,-0.032966491460072425,0.7107241125363862,129
-46800,-0.11738584423037689,0.18009174325722652,132
-45900,-0.23405990435910123,0.006289325392654084,135
-45000,-0.27164835651977487,0.001268791528038573,138
-44100,-0.20832705186494055,0.013175562184573083,141
-43200,-0.1077332948663252,0.1986956895161534,144
-42300,-0.09329833703312201,0.2610219237808269,147
-41400,-0.163570537194301,0.0454943756314433,150
-40500,-0.17887802968785954,0.026943944860054494,153
-39600,-0.20828849520883316,0.00907324011840773,156
-38700,-0.22144874574297851,0.005027822184917716,159
-37800,-0.22261440250759215,0.004409228829290883,162
-36900,-0.23782860954719814,0.002097990636089289,165
-36000,-0.1455814774267622,0.05971291236803952,168
-35100,0.06123621899791501,0.4262406240146257,171
-34200,0.17459065765562315,0.02121505251805418,174
-33300,0.17343685929263208,0.020965634520434796,177
-32400,0.10200882159706061,0.1730040142292694,180
-31500,0.04679426477626427,0.5293305758241031,183
-30600,0.07376092474307866,0.3170458361352982,186
-29700,0.09457800513418474,0.19548910712628378,189
-28800,0.08629080860851163,0.23400948830593682,192
-27900,0.04925704307629213,0.4940824254458027,195
-27000,0.03116302491163808,0.6629585439659329,198
-26100,0.011961003386742266,0.8661703502479632,201
-25200,-0.03309557021797364,0.6384097327113332,204
-24300,-0.07450767774715754,0.28598482363494215,207
-23400,-0.14849699378071532,0.031474482020691384,210
-22500,-0.17848582577291475,0.009038812768400134,213
-21600,-0.19738842122473135,0.00358105339635247,216
-20700,-0.18067156612331764,0.007351475040839686,219
-19800,-0.14677932950314837,0.02878105247825528,222
-18900,-0.11331832563893991,0.08992870727494535,225
-18000,-0.11334655255233318,0.08771138169688536,228
-17100,-0.12556258980350918,0.056704462520908355,231
-16200,-0.11514344704290125,0.07878583144971728,234
-15300,-0.16201703205113457,0.012505259491207336,237
-14400,-0.17947361463237096,0.005294371872992728,240
-13500,-0.11985812213198177,0.062111380562850094,243
-12600,-0.024448789382062536,0.7027816336383393,246
-11700,0.0935882399038808,0.1408587656571343,249
-10800,0.17158828546025318,0.006321559288053863,252
-9900,0.1789610046001503,0.00414490150615258,255
-9000,0.13102761897778714,0.03542449409091071,258
-8100,0.07976797585462037,0.19894839476898168,261
-7200,0.06830607996627679,0.26878361521466443,264
-6300,0.057922897574223406,0.34577340737944645,267
-5400,0.07783323057439574,0.20233339504021905,270
-4500,0.05471989039076351,0.36777579101508406,273
-3600,0.015599157087658076,0.7964129205099362,276
-2700,-0.010339572529769922,0.8634893071711406,279
-1800,-0.08832017351464473,0.13901934141613734,282
-900,-0.12220881138206681,0.03922779332637532,285
0,-0.09266123897371835,0.11663581831600131,288
900,-0.03721363176249709,0.5315155546054453,285
1800,0.07115526480305018,0.2336131330909709,282
2700,0.1499448753951926,0.012158133886684706,279
3600,0.15594795839425935,0.009460767227991688,276
4500,0.12323030135145152,0.04189949606535932,273
