lag_seconds,r,p_value,n
-86400,,,0
-85500,,,3
-84600,,,6
-83700,,,9
-82800,,,12
-81900,,,15
-81000,,,18
-80100,,,21
-79200,,,24
-78300,,,27
-77400,,,30
-76500,,,33
-75600,,,36
-74700,,,39
-73800,,,42
-72900,,,45
-72000,,,48
-71100,-0.1603390645206317,0.26103285048245023,51
-70200,-0.20271895020334899,0.14152655430321925,54
-69300,-0.3069043721768971,0.020228075367711266,57
-68400,-0.18675371599655877,0.15307264886725125,60
-67500,-0.18881285561884437,0.13833727548760485,63
-66600,-0.22914587143455556,0.0642083933984704,66
-65700,-0.22973941454160995,0.05756701330585816,69
-64800,-0.21118136737961413,0.07495920744224227,72
-63900,-0.16271390536582586,0.16307902208640795,75
-63000,-0.12953890830594106,0.25832622152722884,78
-62100,-0.14039761154817876,0.2112478515400043,81
-61200,-0.017001296853300988,0.8780073404397588,84
-60300,0.2209676123920876,0.039711626667297474,87
-59400,0.3247040688591463,0.0017937107866471444,90
-58500,0.3173753639842106,0.0019363780662326943,93
-57600,0.37281228793261983,0.00018347093393203043,96
-56700,0.321782348780856,0.001162722364820901,99
-55800,0.2203674922973817,0.026040415349528893,102
-54900,0.06639323578167178,0.5009934699455565,105
-54000,-0.026255953461809964,0.7873669571236379,108
-53100,-0.002407056389713763,0.9799968390664188,111
-52200,0.007950632719422066,0.9330919625714199,114
-51300,-0.0024408221670159133,0.979163139343443,117
-50400,0.02762232752742408,0.7645757914142992,120
-49500,0.10345179461225967,0.2548369356726538,123
-48600,0.09150146199777376,0.30820079963808955,126
-47700,0.028825454863292937,0.7457298646503806,129
-46800,-0.038992287417147616,0.6571183158550764,132
-45900,-0.07619964179543777,0.3797240111981842,135
-45000,-0.11645846067121138,0.17374559749684648,138
-44100,-0.19647853525056946,0.019538511922152724,141
-43200,-0.18693840410476398,0.024862942399670802,144
-42300,-0.11753894205984723,0.15623810972659177,147
-41400,0.043619426637970325,0.5961049928352227,150
-40500,0.15087798163196883,0.06265605627198273,153
-39600,0.19076675392991738,0.017057639717234046,156
-38700,0.2072033073469346,0.008776931360682342,159
-37800,0.17498654639815742,0.02593514862805271,162
-36900,0.11093388719044733,0.156038801218889,165
-36000,0.07108997078435464,0.35981845184592265,168
-35100,0.0526603851987537,0.4939449083523961,171
-34200,0.050088146241962235,0.5115938360539202,174
-33300,0.03308851576776723,0.6619555613985237,177
-32400,-0.019308447858038986,0.7969709164150698,180
-31500,-0.049326657945349475,0.507259995801277,183
-30600,-0.05187859161961689,0.4819101024454614,186
-29700,-0.040152561916932665,0.5833034856982522,189
-28800,-0.04120496389279935,0.5703979675130443,192
-27900,-0.024926191173049277,0.7294244745270145,195
-27000,-0.03791233335472681,0.5959130917535281,198
-26100,-0.08243674474061885,0.24465315501450272,201
-25200,-0.1274508969871626,0.06927953032341432,204
-24300,-0.172504739125437,0.012935374266976026,207
-23400,-0.20260713380344061,0.0031861810119578294,210
-22500,-0.19991275625502997,0.0033885532559806354,213
-21600,-0.17945052290383084,0.008203825099312572,216
-20700,-0.18756141135970972,0.005360604292081922,219
-19800,-0.19073855843264587,0.004342752483648349,222
-18900,-0.17551062612843601,0.008327163779842904,225
-18000,-0.14651704916041589,0.026956243793834125,228
-17100,-0.13026950800464257,0.04797164287883595,231
-16200,-0.09815600316904079,0.13437376394519965,234
-15300,-0.079558888523931,0.2223689446148263,237
-14400,-0.06703154283476578,0.30104723358231866,240
-13500,-0.06250383563314355,0.33191517500420176,243
-12600,-0.0774763501626526,0.22597178349223945,246
-11700,-0.07813856773904752,0.21919138923452086,249
-10800,-0.06983805999165427,0.26938405902062923,252
-9900,-0.051792875302762935,0.41019223653218395,255
-9000,-0.01649639462208483,0.7920090672991829,258
-8100,0.01638324396058077,0.7922217407086379,261
-7200,0.03877772823463712,0.5304562263193479,264
-6300,0.0532470622163918,0.3861628674644771,267
-5400,0.050973737560594985,0.4041454899647974,270
-4500,0.04696872423799918,0.43957179324546514,273
-3600,0.025073928334400628,0.6783365927105816,276
-2700,-0.0029395165380311757,0.9610155040514821,279
-1800,-0.0013256953939541276,0.9823176615392843,282
-900,0.0425016571566442,0.4748066632931409,285
0,0.0758057739425395,0.199590800324264,288
900,0.11130547294579694,0.06056886164747898,285
1800,0.1795749690912337,0.002471371671978465,282
2700,0.16069280549033707,0.00715486435442067,279
3600,0.11987766103547982,0.046624060551301194,276
4500,0.05615035437385751,0.35536733292539935,273
