lag_seconds,r,p_value,n
-86400,-0.21368387449335516,3.789024980212137e-14,1228
-85500,-0.21413679885508366,3.1080388150294125e-14,1231
-84600,-0.2146311637314599,2.5176084842660447e-14,1234
-83700,-0.2151363806518361,2.0310415448694413e-14,1237
-82800,-0.21562244014130116,1.6457539040861876e-14,1240
-81900,-0.21605990648992207,1.3508662049095604e-14,1243
-81000,-0.21641991243981298,1.132764574542419e-14,1246
-80100,-0.2166741537968235,9.786025041990592e-15,1249
-79200,-0.2167948839735319,8.782865020067383e-15,1252
-78300,-0.2167549084698254,8.25651024628379e-15,1255
-77400,-0.21652757929724212,8.195443139275044e-15,1258
-76500,-0.21608678935291215,8.656408498398997e-15,1261
-75600,-0.2154069667487654,9.80216046884176e-15,1264
-74700,-0.21446306910141003,1.1983213035665765e-14,1267
-73800,-0.21323057778787682,1.5919183095810548e-14,1270
-72900,-0.21168549217219626,2.3116977142424083e-14,1273
-72000,-0.20980546751607773,3.68742989928995e-14,1276
-71100,-0.2075868537858046,6.454271091223037e-14,1279
-70200,-0.205037452092998,1.2337585737757052e-13,1282
-69300,-0.2021649663064315,2.5623719902372824e-13,1285
-68400,-0.19897700346816657,5.750551427110101e-13,1288
-67500,-0.19548107423655306,1.3865357806021595e-12,1291
-66600,-0.19168459335468313,3.5702110049266144e-12,1294
-65700,-0.18760062936583216,9.741955106185104e-12,1297
-64800,-0.18327096706710683,2.775004446543121e-11,1300
-63900,-0.1787507162725955,8.107395938094441e-11,1303
-63000,-0.17409395021589544,2.3901154758786897e-10,1306
-62100,-0.16935371655558343,7.005185922289488e-10,1309
-61200,-0.16458204841821078,2.0140520504628765e-09,1312
-60300,-0.15982997547107147,5.613120121583548e-09,1315
-59400,-0.155147535017258,1.500666394523032e-08,1318
-58500,-0.1505837831059382,3.8139577552187465e-08,1321
-57600,-0.14618680565109116,9.143342384673452e-08,1324
-56700,-0.14200372955224486,2.0540078457095588e-07,1327
-55800,-0.13808073381109048,4.2996914159212594e-07,1330
-54900,-0.13446306063816074,8.347265592943993e-07,1333
-54000,-0.13119502654401902,1.496701386163519e-06,1336
-53100,-0.1283045774721432,2.4764323630734105e-06,1339
-52200,-0.1258037265250813,3.7879546427543027e-06,1342
