lag_seconds,r,p_value,n
-86400,0.01360380083710701,0.5777309059130834,1677
-85500,0.010436039965001788,0.669056245962342,1680
-84600,0.003749811565486742,0.8778305526772461,1683
-83700,-0.002893558190821684,0.9054937663226588,1686
-82800,-0.00795371617718136,0.7439397456428326,1689
-81900,-0.010211445728635998,0.6746773034218027,1692
-81000,-0.00930695508493636,0.7017965228994449,1695
-80100,-0.00788406517370813,0.7454513818122435,1698
-79200,-0.012745489516104526,0.5993750408846236,1701
-78300,-0.018323118351144765,0.449722213261536,1704
-77400,-0.0204731313600467,0.39792441896510006,1707
-76500,-0.020021087793189188,0.4080146451337603,1710
-75600,-0.01944706385074424,0.421182472866386,1713
-74700,-0.022582530630148548,0.34983440540106964,1716
-73800,-0.02863168445843421,0.23543556538685514,1719
-72900,-0.03496203777970377,0.14700021870709554,1722
-72000,-0.039044496712085146,0.10499997313709024,1725
-71100,-0.034018141097980584,0.1575107045606853,1728
-70200,-0.035528644742993436,0.13952071560014898,1731
-69300,-0.04422709315277803,0.06558527237079088,1734
-68400,-0.0527807484835412,0.027827438001520908,1737
-67500,-0.059992219529557286,0.012316987956157228,1740
-66600,-0.06720869143315986,0.004999377793565976,1743
-65700,-0.07454765631548724,0.0018264380314360607,1746
-64800,-0.07932368974149065,0.000899333518109611,1749
-63900,-0.0823817297615676,0.0005571678804156665,1752
-63000,-0.0833853129336181,0.000470804394370636,1755
-62100,-0.0828357727662824,0.0005076509703783712,1758
-61200,-0.08207475908814955,0.0005656339332744266,1761
-60300,-0.08769084145500533,0.0002264592940088409,1764
-59400,-0.0912261852489418,0.00012300818943738995,1767
-58500,-0.094877212155671,6.392983647890606e-05,1770
-57600,-0.09708591100481356,4.2255086078174e-05,1773
-56700,-0.09542400345273487,5.630608442353756e-05,1776
-55800,-0.09237253853168728,9.551453467031694e-05,1779
-54900,-0.0894969119854254,0.00015498569269780673,1782
-54000,-0.08553247953240088,0.00029713641091740035,1785
-53100,-0.08195303819934091,0.0005228346414719897,1788
-52200,-0.07900231974362935,0.0008190024155430553,1791
-51300,-0.07762548357148619,0.0009999132073665751,1794
-50400,-0.0777904067083482,0.0009657349007606754,1797
-49500,-0.07859622098016937,0.0008456538852726899,1800
-48600,-0.08012305474809328,0.0006609594836175762,1803
-47700,-0.08540488636303771,0.000279511520049827,1806
-46800,-0.09070633115715589,0.00011188756914381512,1809
-45900,-0.09302853889787312,7.312841453755087e-05,1812
-45000,-0.09012264211771416,0.00012072023703818702,1815
-44100,-0.08486859187699987,0.0002915704602400828,1818
-43200,-0.07979993297570728,0.000653414517147626,1821
-42300,-0.07356065306282969,0.0016679359770693433,1824
-41400,-0.06826270908712732,0.003509419607521422,1827
-40500,-0.06146542098559937,0.00853625578224115,1830
-39600,-0.059933459933700466,0.010272439797554926,1833
-38700,-0.06162279836267562,0.008262248691203712,1836
-37800,-0.0632309974920698,0.006678961174770834,1839
-36900,-0.06685357878417997,0.004097957735787824,1842
-36000,-0.06705592918355317,0.003956917707821901,1845
-35100,-0.0673398063809256,0.0037776260520985755,1848
-34200,-0.07108649360544926,0.002212055997610812,1851
-33300,-0.07476163678553648,0.001275517434387259,1854
-32400,-0.07456947514546966,0.0013011284334668964,1857
-31500,-0.07345697554435,0.0015234168605099275,1860
-30600,-0.06987028340036212,0.002549203613541833,1863
-29700,-0.064827865854422,0.00508728382851621,1866
-28800,-0.05997242230155018,0.009505329851925792,1869
-27900,-0.05683249201211153,0.013921019974578007,1872
-27000,-0.05539459976872937,0.016444451569955814,1875
-26100,-0.05513013364602023,0.01687865929694074,1878
-25200,-0.05634186247643358,0.014529792209098415,1881
-24300,-0.056503593554068476,0.014171982761334079,1884
-23400,-0.05560479509994184,0.015704162464905285,1887
-22500,-0.054241135253455496,0.01836071670032881,1890
-21600,-0.0501559723368802,0.029098526692439713,1893
-20700,-0.04488148287590839,0.05070430400375308,1896
-19800,-0.040453905009008716,0.07799474400428973,1899
-18900,-0.035605481979220005,0.12059166234264122,1902
-18000,-0.03184815653364465,0.1646824463557545,1905
-17100,-0.029958360382269657,0.19086077847966024,1908
-16200,-0.029041384495395093,0.2044479510271429,1911
-15300,-0.0276456485190999,0.22669423488060733,1914
-14400,-0.026184644767211575,0.2518342097049189,1917
-13500,-0.021705737234229312,0.3418123700483346,1920
-12600,-0.02059733744804337,0.3666620992542743,1923
-11700,-0.020468997275303796,0.36928273799891054,1926
-10800,-0.02515048113745002,0.2695595744273645,1929
-9900,-0.031235035754003798,0.1699491049260382,1932
-9000,-0.038771417881319575,0.08818682548741795,1935
-8100,-0.044272506981447794,0.05133194892360966,1938
-7200,-0.04614410761056851,0.04207940010687194,1941
-6300,-0.04786111603847775,0.0348508123331093,1944
-5400,-0.051526402145272945,0.02298742303935311,1947
-4500,-0.0574926544751429,0.011108106937407278,1950
-3600,-0.0583773450505402,0.009868450190206888,1953
-2700,-0.053131365348351264,0.018774311638983927,1956
-1800,-0.05079615451259548,0.02455806665010743,1959
-900,-0.05160981325547045,0.02224864530632894,1962
0,-0.05095792399825932,0.023889019361187782,1965
900,-0.04941757194988785,0.028606471872305434,1962
1800,-0.04927349941511525,0.02919769849447356,1959
2700,-0.04823941839219001,0.03289619569306401,1956
3600,-0.04921501011549248,0.029639666081143733,1953
4500,-0.04860444324468934,0.031856521228536785,1950
5400,-0.05068729721477119,0.02531449846501331,1947
6300,-0.054510036728323656,0.016233049828971325,1944
7200,-0.0558181018864099,0.013913096070170257,1941
8100,-0.05759137203855088,0.011219144173879295,1938
9000,-0.06003356770524427,0.008254691308987856,1935
9900,-0.061916403700746456,0.006481812538768124,1932
10800,-0.06413726736346673,0.004832245081061304,1929
11700,-0.06447890101150809,0.004642536426097425,1926
12600,-0.06427925800584543,0.004804473037886368,1923
13500,-0.06351467667070643,0.005368103340635167,1920
14400,-0.06007319493960064,0.008516438911589968,1917
15300,-0.05639551571441138,0.013601627173028492,1914
16200,-0.05557635057471292,0.015106832732708879,1911
17100,-0.0572156471253467,0.012432408327405511,1908
18000,-0.053925561995825336,0.018581634458997222,1905
18900,-0.04868104096586211,0.033759141768242726,1902
19800,-0.044391042624411896,0.05309700829231495,1899
20700,-0.041124760674541946,0.07340967272895291,1896
21600,-0.03950885008211513,0.08570343725325125,1893
22500,-0.038105796076685766,0.09769714788731558,1890
23400,-0.041309676500670946,0.07280469431077152,1887
24300,-0.040718479220668485,0.07723690556325591,1884
25200,-0.04415638204091966,0.05552501909742058,1881
26100,-0.044592523223298104,0.05334328014101329,1878
27000,-0.041887912950258635,0.0697722843747118,1875
27900,-0.04011375591625465,0.08271857144027803,1872
28800,-0.03893255292135686,0.09244453324996145,1869
29700,-0.03978324212764588,0.08578674403035394,1866
30600,-0.038978461885564475,0.09258489632081002,1863
31500,-0.038058969844542954,0.10082076187109561,1860
32400,-0.03312253103010345,0.1536441650005465,1857
33300,-0.02762085442294708,0.23454742466824188,1854
34200,-0.02618710925077658,0.2601288812771703,1851
35100,-0.028802915700021397,0.21586093202830123,1848
36000,-0.0319328638318731,0.17036025791418488,1845
36900,-0.03424391964982405,0.14179704346762306,1842
37800,-0.03475784270673538,0.13623031598699434,1839
38700,-0.0347380927787496,0.136773848605574,1836
39600,-0.03498146662034535,0.134362743380709,1833
40500,-0.03175848814495514,0.17446536164561674,1830
41400,-0.029593022961159364,0.20611583396570854,1827
42300,-0.03323958935438084,0.1558915185556652,1824
43200,-0.034588746131357484,0.1400943860419355,1821
44100,-0.03553748612868152,0.12985245024728154,1818
45000,-0.03544397238671942,0.13118457839342576,1815
45900,-0.03429577356647883,0.14447969386164242,1812
46800,-0.029746912177710583,0.20601076426653603,1809
47700,-0.02535320466902077,0.2815411423862359,1806
48600,-0.02376222022556085,0.31324902031731444,1803
49500,-0.02462265271033072,0.2964468589351261,1800
50400,-0.022240810953398304,0.3460536304458067,1797
51300,-0.01990721996326852,0.39940810874728727,1794
52200,-0.01847736002290726,0.4345164168714342,1791
53100,-0.018763450179196138,0.42782284420142924,1788
54000,-0.024912989110103437,0.2928081251699639,1785
54900,-0.030501726597693388,0.19809848404827307,1782
55800,-0.03198929911163745,0.17745017077975703,1779
56700,-0.031225937231844452,0.18839670469619274,1776
57600,-0.031864745356575803,0.1798804114829913,1773
58500,-0.030274111372739068,0.20299487487020557,1770
59400,-0.02968249985077285,0.21235479670785457,1767
60300,-0.026574199594338505,0.2646267027822456,1764
61200,-0.022595525305150084,0.34330642058705013,1761
62100,-0.019811694572292066,0.4064452255256311,1758
63000,-0.02107132278322387,0.3776664800419904,1755
63900,-0.02233863065123764,0.35005888574455624,1752
64800,-0.02789987682251491,0.24353565688442388,1749
65700,-0.03348300246765661,0.16196809923198915,1746
66600,-0.032614644037138235,0.1735066693130827,1743
67500,-0.03173403670241973,0.18579761079520174,1740
68400,-0.03389538039426902,0.15793293836024444,1737
69300,-0.039891519799429516,0.09679403511808975,1734
70200,-0.04472501791016295,0.06283121498147703,1731
71100,-0.04666149931202852,0.05246057718791447,1728
72000,-0.048165302909981375,0.04548233427123873,1725
72900,-0.049350815133841236,0.040592264397326445,1722
73800,-0.04902164281899866,0.04213127392479404,1719
74700,-0.049492239048554966,0.04036832858176268,1716
75600,-0.05037097468517158,0.03710782597249952,1713
76500,-0.05039210821590851,0.03719457611861277,1710
77400,-0.05271437911893879,0.02941656620782524,1707
78300,-0.05639299233664484,0.019910991386236206,1704
79200,-0.061721777587980385,0.010891558858246098,1701
80100,-0.06811415885783594,0.004985629860721045,1698
81000,-0.07404038225515962,0.002286822017461247,1695
81900,-0.08047478920685905,0.0009224409175519613,1692
82800,-0.09018622338488438,0.0002062430727201916,1689
83700,-0.1002267096795173,3.744013414448805e-05,1686
84600,-0.1041740622187262,1.8509055948596964e-05,1683
85500,-0.10562117555167781,1.437219214350538e-05,1680
86400,-0.1079771296234144,9.359871436457813e-06,1677
