lag_seconds,r,p_value,n
-86400,,,0
-85500,,,0
-84600,,,0
-83700,,,2
-82800,,,5
-81900,,,8
-81000,,,11
-80100,,,14
-79200,,,17
-78300,,,20
-77400,,,23
-76500,,,26
-75600,,,29
-74700,,,32
-73800,,,35
-72900,,,38
-72000,,,41
-71100,,,44
-70200,,,47
-69300,0.22260591254320522,0.12022804483490969,50
-68400,0.20323366171334484,0.1444098947753241,53
-67500,0.0631613185982623,0.6437530676728034,56
-66600,-0.002805499797189276,0.9831751308593548,59
-65700,-0.07462383534989193,0.5643209734108586,62
-64800,-0.005964011928605519,0.9623930171971677,65
-63900,-0.06309671442585454,0.6092304692700219,68
-63000,-0.15496282629000885,0.1969209339019987,71
-62100,-0.2641062112203953,0.022979004582610974,74
-61200,-0.17098599431725917,0.13706017336797854,77
-60300,-0.051960194962929696,0.6471384467790235,80
-59400,-0.2173677402591416,0.04838720585343101,83
-58500,-0.4288882808061507,3.786768040282311e-05,86
-57600,-0.49755271298673925,7.028963274299822e-07,89
-56700,-0.4192092940491065,3.193486088584659e-05,92
-55800,-0.3136736642561463,0.001965766725138141,95
-54900,-0.23426913148609987,0.02024372531145632,98
-54000,-0.1755289357470132,0.07913194570153956,101
-53100,-0.16158241596247455,0.10127675803146219,104
-52200,-0.16911157790055004,0.08162707266373902,107
-51300,-0.18762557691460818,0.04966677963199947,110
-50400,-0.20894232187897582,0.02635324295065691,113
-49500,-0.27687977446532097,0.0026224211525195844,116
-48600,-0.34954386076309557,9.760294078456111e-05,119
-47700,-0.38605227930684205,1.1247738641770238e-05,122
-46800,-0.39009525927197236,6.889660146747076e-06,125
-45900,-0.375668210804198,1.2444188259414884e-05,128
-45000,-0.360221347925385,2.3769325413532352e-05,131
-44100,-0.3508885720956436,3.2283477214026314e-05,134
-43200,-0.3559120656483743,1.9697358473417845e-05,137
-42300,-0.3428874266463425,3.366191199393002e-05,140
-41400,-0.3109576963016269,0.00015680976544040772,143
-40500,-0.25117038747460646,0.0022282457424787454,146
-39600,-0.21375868193061062,0.008854803225173003,149
-38700,-0.17049346975224067,0.035725873814477734,152
