lag_seconds,r,p_value,n
-86400,,,203
-85500,,,206
-84600,,,209
-83700,,,212
-82800,,,215
-81900,,,218
-81000,,,221
-80100,,,224
-79200,,,227
-78300,,,230
-77400,,,233
-76500,,,236
-75600,,,239
-74700,,,242
-73800,,,245
-72900,,,248
-72000,,,251
-71100,,,254
-70200,,,257
-69300,,,260
-68400,,,263
-67500,,,266
-66600,,,269
-65700,,,272
-64800,,,275
-63900,,,278
-63000,,,281
-62100,,,284
-61200,,,287
-60300,0.030287992856773645,0.6074784181668464,290
-59400,0.1022991618839465,0.08043225912592818,293
-58500,0.06045746080513897,0.29987709544294017,296
-57600,0.04209744794496,0.4683260234442695,299
-56700,0.0065563288469051425,0.9096614550902957,302
-55800,-0.0478770807954578,0.4047421464168768,305
-54900,0.02962084703149657,0.6045673280033494,308
-54000,0.08819406454568723,0.12064256104843349,311
-53100,0.04587586453638427,0.41787873788694235,314
-52200,0.06312512020745357,0.26246291595198995,317
-51300,0.07565166330129808,0.17703604213526583,320
-50400,0.057246700524968684,0.3050321439196305,323
-49500,0.02778940050791625,0.6171314391434946,326
-48600,-0.0011885585691014061,0.982865585634551,329
-47700,0.009081729166036183,0.8690571146703219,332
-46800,0.0036302769715680612,0.947221112080431,335
-45900,0.013199861710637325,0.8089444095023804,338
-45000,0.08295862288296217,0.12627912769780167,341
-44100,0.17506053680548597,0.0011130103387571688,344
-43200,0.19754799243616977,0.00021290403656048793,347
-42300,0.11007669824632643,0.039567286543961216,350
-41400,0.011517838455107903,0.8292682578045287,353
-40500,-0.029245476555958216,0.5823333954185054,356
-39600,-0.033195291815021385,0.5306983623728876,359
-38700,-0.015622007402413526,0.7670627922778825,362
-37800,0.015365948398107374,0.7698459885437221,365
-36900,0.06792224417352269,0.19358604693954293,368
-36000,0.04406957395460437,0.3973370012034094,371
-35100,-0.03934050087284988,0.44811817506500634,374
-34200,-0.08772599821158941,0.08895140532909496,377
-33300,-0.09261779282494897,0.07132806781120324,380
-32400,-0.03595741141351938,0.48291167882941183,383
