lag_seconds,r,p_value,n
-86400,-0.3322930544297642,3.737922420726687e-86,3310
-85500,-0.32919880823842884,1.4211065605405769e-84,3313
-84600,-0.32605128961759194,5.552515796771007e-83,3316
-83700,-0.3228625353394616,2.19332079638987e-81,3319
-82800,-0.3196404118396675,8.664993300854572e-80,3322
-81900,-0.31637196214286584,3.4719105727101526e-78,3325
-81000,-0.31306130301698465,1.401803917629629e-76,3328
-80100,-0.30976765352603175,5.32146967955416e-75,3331
-79200,-0.3064939492518863,1.8947097886733688e-73,3334
-78300,-0.3032498191515013,6.265797544134134e-72,3337
-77400,-0.3000212867955309,1.9571208559637573e-70,3340
-76500,-0.29679616382520246,5.855671270259907e-69,3343
-75600,-0.2935161996299067,1.7874673723212595e-67,3346
-74700,-0.2902146479984805,5.362339557199582e-66,3349
-73800,-0.28689619658614723,1.5721001618830355e-64,3352
-72900,-0.2835466607828165,4.568579906499677e-63,3355
-72000,-0.2801599432824487,1.3228010077419123e-61,3358
-71100,-0.27673572542032693,3.812199762444831e-60,3361
-70200,-0.2732765775894603,1.0892274741635723e-58,3364
-69300,-0.26978493074179566,3.074217797217725e-57,3367
-68400,-0.26626320054824737,8.540767168856649e-56,3370
-67500,-0.26271378671782153,2.3277737625975587e-54,3373
-66600,-0.2591390723250569,6.203895058736148e-53,3376
-65700,-0.25554142314690526,1.611866320825522e-51,3379
-64800,-0.2519231870099356,4.070602414956836e-50,3382
-63900,-0.24828669314891424,9.964159252669451e-49,3385
-63000,-0.24463425157762614,2.35789820953934e-47,3388
-62100,-0.24096815247284814,5.380524203351774e-46,3391
-61200,-0.23729066557229994,1.1811749550360686e-44,3394
-60300,-0.2336040395873972,2.489033152129246e-43,3397
-59400,-0.2299105016315498,5.02425659266423e-42,3400
-58500,-0.22621225666472244,9.69607507330341e-41,3403
-57600,-0.22251148695492812,1.7857523154279702e-39,3406
-56700,-0.21881035155731932,3.133462505216246e-38,3409
-55800,-0.2151109858113975,5.230469680606068e-37,3412
-54900,-0.21141550085692953,8.293953762528804e-36,3415
