2026-04-06 12:24:05,968 | DEBUG | __main__ | Number of entries in https://www.coindesk.com/arc/outboundfeeds/rss: 25
2026-04-06 12:24:05,968 | DEBUG | __main__ | Number of usable entries so far: 11
2026-04-06 12:24:07,324 | DEBUG | __main__ | Number of entries in https://cointelegraph.com/rss/tag/altcoin: 30
2026-04-06 12:24:07,324 | DEBUG | __main__ | Number of usable entries so far: 11
2026-04-06 12:24:08,672 | DEBUG | __main__ | Number of entries in https://cointelegraph.com/rss/tag/bitcoin: 30
2026-04-06 12:24:08,673 | DEBUG | __main__ | Number of usable entries so far: 41
2026-04-06 12:24:10,180 | DEBUG | __main__ | Number of entries in https://cointelegraph.com/rss/tag/ethereum: 30
2026-04-06 12:24:10,181 | DEBUG | __main__ | Number of usable entries so far: 41
2026-04-06 12:24:11,444 | DEBUG | __main__ | Number of entries in https://cointelegraph.com/rss/tag/blockchain: 30
2026-04-06 12:24:11,444 | DEBUG | __main__ | Number of usable entries so far: 41
2026-04-06 12:24:12,936 | DEBUG | __main__ | Number of entries in https://cointelegraph.com/rss/category/top-10-cryptocurrencies: 30
2026-04-06 12:24:12,936 | DEBUG | __main__ | Number of usable entries so far: 44
2026-04-06 12:24:14,434 | DEBUG | __main__ | Number of entries in https://www.newsbtc.com/feed/: 10
2026-04-06 12:24:14,434 | DEBUG | __main__ | Number of usable entries so far: 53
2026-04-06 12:24:16,921 | DEBUG | __main__ | Number of entries in https://thedefiant.io/feed/: 100
2026-04-06 12:24:16,922 | DEBUG | __main__ | Number of usable entries so far: 60
2026-04-06 12:24:17,957 | DEBUG | __main__ | Number of entries in https://cryptopotato.com/feed/: 36
2026-04-06 12:24:17,957 | DEBUG | __main__ | Number of usable entries so far: 79
2026-04-06 12:24:19,539 | DEBUG | __main__ | Number of entries in https://cryptoslate.com/feed/: 10
2026-04-06 12:24:19,539 | DEBUG | __main__ | Number of usable entries so far: 85
2026-04-06 12:24:21,240 | DEBUG | __main__ | Number of entries in https://cryptonews.com/news/feed/: 20
2026-04-06 12:24:21,241 | DEBUG | __main__ | Number of usable entries so far: 91
2026-04-06 12:24:22,868 | DEBUG | __main__ | Number of entries in https://smartliquidity.info/feed/: 10
2026-04-06 12:24:22,868 | DEBUG | __main__ | Number of usable entries so far: 91
2026-04-06 12:24:24,698 | DEBUG | __main__ | Number of entries in https://finance.yahoo.com/news/rssindex: 50
2026-04-06 12:24:24,698 | DEBUG | __main__ | Number of usable entries so far: 91
2026-04-06 12:24:26,628 | DEBUG | __main__ | Number of entries in https://www.cnbc.com/id/10000664/device/rss/rss.html: 30
2026-04-06 12:24:26,628 | DEBUG | __main__ | Number of usable entries so far: 91
2026-04-06 12:24:27,902 | DEBUG | __main__ | Number of entries in https://benjaminion.xyz/newineth2/rss_feed.xml: 4
2026-04-06 12:24:27,902 | DEBUG | __main__ | Number of usable entries so far: 91
2026-04-06 12:24:27,902 | DEBUG | __main__ | Number of posts before dedup: 91
2026-04-06 12:24:27,906 | DEBUG | __main__ | Size of final df: 91
2026-04-06 12:24:27,913 | DEBUG | src.utils.helpers | Saved CSV to: data/tests/news_posts.csv (91 rows)
